tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Fed Cup WG F: CZE vs RUS,D,2015-11-14,Hard,RR,3,Petra Kvitova,Anastasia Pavlyuchenkova,2-6 6-1 6-1,6,28,4220,1840
Fed Cup WG F: CZE vs RUS,D,2015-11-14,Hard,RR,3,Maria Sharapova,Karolina Pliskova,6-3 6-4,4,11,5011,3285
Fed Cup WG F: CZE vs RUS,D,2015-11-14,Hard,RR,3,Maria Sharapova,Petra Kvitova,3-6 6-4 6-2,4,6,5011,4220
Fed Cup WG F: CZE vs RUS,D,2015-11-14,Hard,RR,3,Karolina Pliskova,Anastasia Pavlyuchenkova,6-3 6-4,11,28,3285,1840
Fed Cup WG R1: CAN vs CZE,D,2015-02-07,Hard,RR,3,Karolina Pliskova,Francoise Abanda,6-2 6-4,22,230,2015,195
Fed Cup WG R1: CAN vs CZE,D,2015-02-07,Hard,RR,3,Tereza Smitkova,Gabriela Dabrowski,6-1 6-2,62,185,863,285
Fed Cup WG R1: CAN vs CZE,D,2015-02-07,Hard,RR,3,Karolina Pliskova,Gabriela Dabrowski,6-4 6-2,22,185,2015,285
Fed Cup WG R1: ITA vs FRA,D,2015-02-07,Clay,RR,3,Sara Errani,Caroline Garcia,7-6(2) 7-5,13,30,2551,1461
Fed Cup WG R1: ITA vs FRA,D,2015-02-07,Clay,RR,3,Camila Giorgi,Alize Cornet,6-4 6-2,31,19,1455,2125
Fed Cup WG R1: ITA vs FRA,D,2015-02-07,Clay,RR,3,Kristina Mladenovic,Sara Errani,6-4 6-3,74,13,780,2551
Fed Cup WG R1: ITA vs FRA,D,2015-02-07,Clay,RR,3,Caroline Garcia,Camila Giorgi,4-6 6-0 6-2,30,31,1461,1455
Fed Cup WG R1: POL vs RUS,D,2015-02-07,Hard,RR,3,Svetlana Kuznetsova,Agnieszka Radwanska,6-4 2-6 6-2,27,8,1701,4270
Fed Cup WG R1: POL vs RUS,D,2015-02-07,Hard,RR,3,Maria Sharapova,Urszula Radwanska,6-0 6-3,2,135,8210,407
Fed Cup WG R1: POL vs RUS,D,2015-02-07,Hard,RR,3,Maria Sharapova,Agnieszka Radwanska,6-1 7-5,2,8,8210,4270
Fed Cup WG R1: GER vs AUS,D,2015-02-07,Hard,RR,3,Jarmila Gajdosova,Angelique Kerber,4-6 6-2 6-4,54,10,925,3130
Fed Cup WG R1: GER vs AUS,D,2015-02-07,Hard,RR,3,Andrea Petkovic,Samantha Stosur,6-4 3-6 12-10,12,25,2735,1835
Fed Cup WG R1: GER vs AUS,D,2015-02-07,Hard,RR,3,Angelique Kerber,Samantha Stosur,6-2 6-4,10,25,3130,1835
Fed Cup WG R1: GER vs AUS,D,2015-02-07,Hard,RR,3,Andrea Petkovic,Jarmila Gajdosova,6-3 3-6 8-6,12,54,2735,925
Fed Cup WG SF: CZE vs FRA,D,2015-04-18,Hard,RR,3,Lucie Safarova,Caroline Garcia,4-6 7-6(1) 6-1,13,29,2870,1560
Fed Cup WG SF: CZE vs FRA,D,2015-04-18,Hard,RR,3,Petra Kvitova,Kristina Mladenovic,6-3 6-4,4,58,6060,875
Fed Cup WG SF: CZE vs FRA,D,2015-04-18,Hard,RR,3,Petra Kvitova,Caroline Garcia,6-4 6-4,4,29,6060,1560
Fed Cup WG SF: RUS vs GER,D,2015-04-18,Clay,RR,3,Svetlana Kuznetsova,Julia Goerges,6-4 6-4,24,63,1870,840
Fed Cup WG SF: RUS vs GER,D,2015-04-18,Clay,RR,3,Anastasia Pavlyuchenkova,Sabine Lisicki,4-6 7-6(4) 6-3,38,19,1256,2127
Fed Cup WG SF: RUS vs GER,D,2015-04-18,Clay,RR,3,Andrea Petkovic,Svetlana Kuznetsova,6-2 6-1,11,24,3260,1870
Fed Cup WG SF: RUS vs GER,D,2015-04-18,Clay,RR,3,Angelique Kerber,Anastasia Pavlyuchenkova,6-1 6-0,14,38,2865,1256
Fed Cup WG R1: NED vs SVK,D,2015-02-07,Clay,RR,3,Anna Karolina Schmiedlova,Kiki Bertens,6-2 7-5,75,70,727,811
Fed Cup WG R1: NED vs SVK,D,2015-02-07,Clay,RR,3,Arantxa Rus,Magdalena Rybarikova,6-3 6-4,218,47,207,1046
Fed Cup WG R1: NED vs SVK,D,2015-02-07,Clay,RR,3,Kiki Bertens,Magdalena Rybarikova,6-1 2-6 6-1,70,47,811,1046
Fed Cup WG R1: NED vs SVK,D,2015-02-07,Clay,RR,3,Arantxa Rus,Anna Karolina Schmiedlova,6-3 2-6 6-4,218,75,207,727
Fed Cup WG R1: ROU vs ESP,D,2015-02-07,Hard,RR,3,Simona Halep,Silvia Soler Espinosa,6-2 6-1,3,67,6571,848
Fed Cup WG R1: ROU vs ESP,D,2015-02-07,Hard,RR,3,Garbine Muguruza,Irina Camelia Begu,6-3 6-2,24,34,1845,1401
Fed Cup WG R1: ROU vs ESP,D,2015-02-07,Hard,RR,3,Garbine Muguruza,Simona Halep,6-4 6-3,24,3,1845,6571
Fed Cup WG R1: ROU vs ESP,D,2015-02-07,Hard,RR,3,Irina Camelia Begu,Silvia Soler Espinosa,6-2 6-4,34,67,1401,848
Fed Cup WG R1: SWE vs SUI,D,2015-02-07,Hard,RR,3,Timea Bacsinszky,Rebecca Peterson,7-6(4) 6-0,36,222,1294,204
Fed Cup WG R1: SWE vs SUI,D,2015-02-07,Hard,RR,3,Belinda Bencic,Johanna Larsson,6-1 6-2,37,71,1280,807
Fed Cup WG R1: SWE vs SUI,D,2015-02-07,Hard,RR,3,Timea Bacsinszky,Johanna Larsson,6-3 7-6(5),36,71,1294,807
Fed Cup WG R1: ARG vs USA,D,2015-02-07,Clay,RR,3,Venus Williams,Paula Ormaechea,6-3 6-2,11,121,2790,456
Fed Cup WG R1: ARG vs USA,D,2015-02-07,Clay,RR,3,Serena Williams,Maria Irigoyen,7-5 6-0,1,197,9776,249
Fed Cup WG R1: ARG vs USA,D,2015-02-07,Clay,RR,3,Paula Ormaechea,Coco Vandeweghe,6-4 6-4,121,32,456,1423
Fed Cup WG R1: ARG vs USA,D,2015-02-07,Clay,RR,3,Venus Williams,Maria Irigoyen,6-1 6-4,11,197,2790,249
Fed Cup G1 PO: JPN vs KAZ,D,2015-02-07,Hard,RR,3,Misaki Doi,Yulia Putintseva,6-1 6-3,103,111,532,510
Fed Cup G1 PO: JPN vs KAZ,D,2015-02-07,Hard,RR,3,Kurumi Nara,Yaroslava Shvedova,2-6 7-6(4) 6-2,44,51,1116,964
Fed Cup G1 PO: HKG vs TPE,D,2015-02-07,Hard,RR,3,Yung Jan Chan,Ho Ching Wu,6-1 6-3,180,620,292,30
Fed Cup G1 PO: HKG vs TPE,D,2015-02-07,Hard,RR,3,Su Wei Hsieh,Ling Zhang,3-6 6-4 6-3,152,204,355,233
Fed Cup G1 PO: CHN vs KOR,D,2015-02-07,Hard,RR,3,Qiang Wang,So Ra Lee,6-2 6-2,98,520,582,46
Fed Cup G1 PO: CHN vs KOR,D,2015-02-07,Hard,RR,5,Ji Hee Choi,Saisai Zheng,2-2 RET,473,80,56,698
Fed Cup G1 PO: THA vs UZB,D,2015-02-07,Hard,RR,3,Tamarine Tanasugarn,Sabina Sharipova,6-1 7-6(5),247,265,179,160
Fed Cup G1 PO: THA vs UZB,D,2015-02-07,Hard,RR,3,Luksika Kumkhum,Nigina Abduraimova,4-6 6-4 6-2,131,162,422,324
Fed Cup G2 PO: RSA vs FIN,D,2015-02-07,Hard,RR,3,Chanel Simmonds,Piia Suomalainen,6-2 6-4,328,,102,
Fed Cup G2 PO: RSA vs FIN,D,2015-02-07,Hard,RR,3,Chanelle Scheepers,Ella Leivo,6-2 6-0,83,,677,
Fed Cup G2 PO: EST vs SLO,D,2015-02-07,Hard,RR,3,Anett Kontaveit,Andreja Klepac,5-7 6-3 6-3,172,808,310,15
Fed Cup G2 PO: EST vs SLO,D,2015-02-07,Hard,RR,5,Kaia Kanepi,Tadeja Majeric,6-2 3-0 RET,48,234,1045,191
Fed Cup G2 PO: EGY vs LUX,D,2015-02-07,Hard,RR,3,Sandra Samir,Eleonora Molinaro,7-6(2) 6-2,798,,16,
Fed Cup G2 PO: EGY vs LUX,D,2015-02-07,Hard,RR,3,Claudine Schaul,Ola Abou Zekry,6-4 6-7(3) 6-3,,477,,56
Fed Cup G2 PO: BIH vs IRL,D,2015-02-07,Hard,RR,3,Lauren Deegan,Jelena Simic,6-0 6-2,,701,,23
Fed Cup G2 PO: BIH vs IRL,D,2015-02-07,Hard,RR,3,Jasmina Tinjic,Amy Bowtell,6-2 2-6 7-5,560,409,39,73
Fed Cup G1 PO: BLR vs GBR,D,2015-02-07,Hard,RR,3,Olga Govortsova,Johanna Konta,6-0 6-1,156,145,342,374
Fed Cup G1 PO: BLR vs GBR,D,2015-02-07,Hard,RR,3,Victoria Azarenka,Heather Watson,6-4 6-1,49,38,998,1261
Fed Cup G1 PO: SRB vs CRO,D,2015-02-07,Hard,RR,3,Ivana Jorovic,Ana Konjuh,6-3 2-6 7-5,302,99,127,579
Fed Cup G1 PO: SRB vs CRO,D,2015-02-07,Hard,RR,3,Aleksandra Krunic,Donna Vekic,6-1 6-1,78,84,708,667
Fed Cup G1 PO: TUR vs GEO,D,2015-02-07,Hard,RR,3,Mariam Bolkvadze,Basak Eraydin,6-3 6-3,693,527,23,46
Fed Cup G1 PO: TUR vs GEO,D,2015-02-07,Hard,RR,3,Ipek Soylu,Ekaterine Gorgodze,2-6 6-0 6-1,307,323,119,106
Fed Cup G1 PO: HUN vs BEL,D,2015-02-07,Hard,RR,5,Anna Bondar,Alison Van Uytvanck,W/O,651,102,28,544
Fed Cup G1 PO: HUN vs BEL,D,2015-02-07,Hard,RR,5,Reka Luca Jani,Kirsten Flipkens,2-6 7-6(5) RET,290,59,138,880
Fed Cup G1 PO: BUL vs UKR,D,2015-02-07,Hard,RR,3,Kateryna Baindl,Viktoriya Tomova,6-4 6-0,124,312,441,117
Fed Cup G1 PO: BUL vs UKR,D,2015-02-07,Hard,RR,3,Elina Svitolina,Dia Evtimova,6-2 6-3,26,305,1740,120
Fed Cup G1 PO: LIE vs POR,D,2015-02-07,Hard,RR,3,Maria Joao Koehler,Kathinka Von Deichmann,6-3 6-0,689,334,23,101
Fed Cup G1 PO: LIE vs POR,D,2015-02-07,Hard,RR,3,Michelle Larcher De Brito,Stephanie Vogt,7-6(7) 7-5,120,169,456,318
Fed Cup G1 PO: AUT vs LAT,D,2015-02-07,Hard,RR,3,Jelena Ostapenko,Julia Grabher,6-2 6-1,266,753,159,18
Fed Cup G1 PO: AUT vs LAT,D,2015-02-07,Hard,RR,3,Barbara Haas,Diana Marcinkevica,6-0 2-6 6-0,303,262,124,160
Fed Cup G1 PO: BRA vs PAR,D,2015-02-07,Hard,RR,3,Paula Cristina Goncalves,Montserrat Gonzalez,6-0 6-3,286,237,140,189
Fed Cup G1 PO: BRA vs PAR,D,2015-02-07,Hard,RR,3,Veronica Cepede Royg,Beatriz Haddad Maia,6-4 7-6(4),167,232,319,194
Fed Cup G1 PO: COL vs VEN,D,2015-02-07,Hard,RR,3,Yuliana Lizarazo,Aymet Uzcategui,6-1 6-1,342,,98,
Fed Cup G1 PO: COL vs VEN,D,2015-02-07,Hard,RR,3,Mariana Duque Marino,Adriana Perez,6-4 6-0,132,672,417,25
Fed Cup G1 PO: CHI vs BOL,D,2015-02-07,Hard,RR,3,Noelia Zeballos,Fernanda Brito,6-4 6-4,,438,,63
Fed Cup G1 PO: CHI vs BOL,D,2015-02-07,Hard,RR,3,Maria Fernanda Alvarez Teran,Daniela Seguel,6-1 6-1,691,431,23,64
Fed Cup WG PO: ITA vs USA,D,2015-04-18,Clay,RR,3,Serena Williams,Camila Giorgi,7-6(5) 6-2,1,36,9981,1350
Fed Cup WG PO: ITA vs USA,D,2015-04-18,Clay,RR,3,Sara Errani,Lauren Davis,6-1 6-2,15,57,2805,880
Fed Cup WG PO: ITA vs USA,D,2015-04-18,Clay,RR,3,Serena Williams,Sara Errani,4-6 7-6(3) 6-3,1,15,9981,2805
Fed Cup WG PO: ITA vs USA,D,2015-04-18,Clay,RR,3,Flavia Pennetta,Christina Mchale,6-1 6-1,26,65,1830,813
Fed Cup WG PO: NED vs AUS,D,2015-04-18,Clay,RR,3,Kiki Bertens,Jarmila Gajdosova,6-1 6-3,86,48,669,1000
Fed Cup WG PO: NED vs AUS,D,2015-04-18,Clay,RR,3,Casey Dellacqua,Arantxa Rus,7-5 6-3,44,217,1131,214
Fed Cup WG PO: NED vs AUS,D,2015-04-18,Clay,RR,3,Kiki Bertens,Casey Dellacqua,6-2 6-3,86,44,669,1131
Fed Cup WG PO: NED vs AUS,D,2015-04-18,Clay,RR,3,Arantxa Rus,Jarmila Gajdosova,0-6 7-5 7-5,217,48,214,1000
Fed Cup WG PO: POL vs SUI,D,2015-04-18,Hard,RR,3,Agnieszka Radwanska,Martina Hingis,6-4 6-0,9,,3385,
Fed Cup WG PO: POL vs SUI,D,2015-04-18,Hard,RR,3,Timea Bacsinszky,Urszula Radwanska,6-2 6-1,22,114,1971,515
Fed Cup WG PO: POL vs SUI,D,2015-04-18,Hard,RR,3,Timea Bacsinszky,Agnieszka Radwanska,6-1 6-1,22,9,1971,3385
Fed Cup WG PO: POL vs SUI,D,2015-04-18,Hard,RR,3,Urszula Radwanska,Martina Hingis,4-6 7-5 6-1,114,,515,
Fed Cup WG PO: CAN vs ROU,D,2015-04-18,Hard,RR,3,Francoise Abanda,Irina Camelia Begu,4-6 7-5 6-4,260,33,175,1409
Fed Cup WG PO: CAN vs ROU,D,2015-04-18,Hard,RR,3,Alexandra Dulgheru,Eugenie Bouchard,6-4 6-4,69,7,791,4122
Fed Cup WG PO: CAN vs ROU,D,2015-04-18,Hard,RR,3,Cristina Andreea Mitu,Eugenie Bouchard,4-6 6-4 6-1,104,7,586,4122
Fed Cup WG PO: CAN vs ROU,D,2015-04-18,Hard,RR,3,Alexandra Dulgheru,Francoise Abanda,3-6 7-5 6-2,69,260,791,175
Fed Cup WG PO: SRB vs PAR,D,2015-04-18,Hard,RR,3,Aleksandra Krunic,Veronica Cepede Royg,6-1 6-3,77,166,727,316
Fed Cup WG PO: SRB vs PAR,D,2015-04-18,Hard,RR,3,Ana Ivanovic,Montserrat Gonzalez,6-2 6-0,6,225,4200,204
Fed Cup WG PO: SRB vs PAR,D,2015-04-18,Hard,RR,3,Veronica Cepede Royg,Ivana Jorovic,3-6 6-2 6-1,166,285,316,145
Fed Cup WG PO: SRB vs PAR,D,2015-04-18,Hard,RR,3,Aleksandra Krunic,Montserrat Gonzalez,6-0 6-2,77,225,727,204
Fed Cup WG PO: SVK vs SWE,D,2015-04-18,Clay,RR,3,Anna Karolina Schmiedlova,Rebecca Peterson,6-3 6-3,46,235,1074,191
Fed Cup WG PO: SVK vs SWE,D,2015-04-18,Clay,RR,3,Daniela Hantuchova,Susanne Celik,6-2 6-0,49,221,995,213
Fed Cup WG PO: SVK vs SWE,D,2015-04-18,Clay,RR,3,Anna Karolina Schmiedlova,Ellen Allgurin,6-1 6-4,46,366,1074,92
Fed Cup WG PO: JPN vs BLR,D,2015-04-18,Hard,RR,3,Victoria Azarenka,Misaki Doi,6-1 6-2,32,107,1423,577
Fed Cup WG PO: JPN vs BLR,D,2015-04-18,Hard,RR,3,Kurumi Nara,Olga Govortsova,6-4 4-6 6-2,54,136,930,409
Fed Cup WG PO: JPN vs BLR,D,2015-04-18,Hard,RR,3,Victoria Azarenka,Kurumi Nara,6-3 6-3,32,54,1423,930
Fed Cup WG PO: JPN vs BLR,D,2015-04-18,Hard,RR,3,Ayumi Morita,Aliaksandra Sasnovich,7-6(5) 4-6 6-4,451,146,58,374
Fed Cup WG PO: ARG vs ESP,D,2015-04-18,Clay,RR,3,Sara Sorribes Tormo,Paula Ormaechea,4-6 7-6(2) 6-1,162,158,333,339
Fed Cup WG PO: ARG vs ESP,D,2015-04-18,Clay,RR,3,Lara Arruabarrena,Maria Irigoyen,6-0 6-1,88,226,657,202
Fed Cup WG PO: ARG vs ESP,D,2015-04-18,Clay,RR,3,Lara Arruabarrena,Paula Ormaechea,6-1 4-6 9-7,88,158,657,339
Fed Cup G3 PO: LTU vs MDA,D,2015-04-18,Clay,RR,3,Akvile Parazinskaite,Alexandra Perper,7-5 6-2,807,1039,16,7
Fed Cup G3 PO: LTU vs MDA,D,2015-04-18,Clay,RR,3,Daniela Ciobanu,Lina Stanciute,6-1 6-4,743,579,20,35
Fed Cup G3 PO: GRE vs DEN,D,2015-04-18,Clay,RR,3,Karen Barbat,Despina Papamichail,7-5 3-6 7-6(4),632,356,30,96
Fed Cup G3 PO: GRE vs DEN,D,2015-04-18,Clay,RR,3,Caroline Wozniacki,Maria Sakkari,6-3 6-0,5,255,4675,177
Fed Cup G3 PO: ISL vs NAM,D,2015-04-17,Clay,RR,3,Liniques Theron,Anna Soffia Gronholm,6-1 6-4,,,,
Fed Cup G3 PO: ISL vs NAM,D,2015-04-17,Clay,RR,3,Lesedi Sheya Jacobs,Hjordis Rosa Gudmundsdottir,6-1 6-1,,,,
Fed Cup G3 PO: MNE vs ALG,D,2015-04-17,Clay,RR,3,Amira Benaissa,Nina Kalezic,5-7 7-5 6-1,,,,
Fed Cup G3 PO: MNE vs ALG,D,2015-04-17,Clay,RR,3,Ines Ibbou,Kristina Samardzic,6-0 6-1,,,,
Fed Cup G3 PO: CYP vs MKD,D,2015-04-18,Clay,RR,3,Maria Siopacha,Magdalena Stoilkovska,7-5 6-2,,1207,,3
Fed Cup G3 PO: CYP vs MKD,D,2015-04-18,Clay,RR,3,Lina Gjorcheska,Eliza Omirou,6-2 6-0,387,,82,
Fed Cup G3 PO: ARM vs NOR,D,2015-04-17,Clay,RR,3,Caroline Rohde Moe,Lusine Chobanyan,6-0 6-0,732,,21,
Fed Cup G3 PO: ARM vs NOR,D,2015-04-17,Clay,RR,3,Melanie Stokke,Ani Amiraghyan,6-1 6-1,430,,66,
Fed Cup G2 PO: SIN vs POC,D,2015-04-17,Hard,RR,3,Abigail Tere Apisah,Angeline Devi Devanthiran,6-0 6-3,,,,
Fed Cup G2 PO: SIN vs POC,D,2015-04-17,Hard,RR,3,Steffi Carruthers,Khee Yen Wee,6-2 6-0,1076,,6,
Fed Cup G2 PO: IRI vs MAS,D,2015-04-17,Hard,RR,3,Yus Syazlin Nabila Binti Yusri,Ghazal Pakbaten,6-3 7-5,,,,
Fed Cup G2 PO: IRI vs MAS,D,2015-04-17,Hard,RR,3,Theiviya Selvarajoo,Sara Amini,6-4 6-2,,,,
Fed Cup G2 PO: KGZ vs PAK,D,2015-04-18,Hard,RR,3,Iman Qureshi,Saara Kunakunova,6-1 6-2,,,,
Fed Cup G2 PO: KGZ vs PAK,D,2015-04-18,Hard,RR,3,Ushna Suhail,Eliza Askarova,3-6 6-0 6-1,1207,,3,
Fed Cup G2 PO: IND vs PHI,D,2015-04-18,Hard,RR,3,Prarthana G Thombare,Anna Clarice Patrimonio,6-3 6-1,480,,52,
Fed Cup G2 PO: IND vs PHI,D,2015-04-18,Hard,RR,3,Katharina Lehnert,Ankita Raina,2-6 7-5 7-5,595,248,34,181
Fed Cup G2 PO: PHI vs INA,D,2015-04-17,Hard,RR,3,Lavinia Tananta,Anna Clarice Patrimonio,6-3 6-1,799,,16,
Fed Cup G2 PO: PHI vs INA,D,2015-04-17,Hard,RR,3,Katharina Lehnert,Deria Nur Haliza,6-4 6-2,595,886,34,12
Fed Cup G2 PO: IND vs TKM,D,2015-04-17,Hard,RR,3,Prarthana G Thombare,Jahana Bayramova,6-0 6-2,480,,52,
Fed Cup G2 PO: IND vs TKM,D,2015-04-17,Hard,RR,3,Ankita Raina,Anastasiya Prenko,6-1 6-2,248,,181,
Hobart,I,2015-01-12,Hard,R32,3,Casey Dellacqua,Lauren Davis,6-4 1-6 6-4,29,52,1512,980
Hobart,I,2015-01-12,Hard,R32,3,Karin Knapp,Ajla Tomljanovic,7-5 6-2,51,64,985,840
Hobart,I,2015-01-12,Hard,R32,3,Kateryna Baindl,Kirsten Flipkens,4-6 6-3 6-4,138,50,398,1010
Hobart,I,2015-01-12,Hard,R32,3,Madison Brengle,Mona Barthel,6-7(6) 7-5 7-6(2),84,40,667,1193
Hobart,I,2015-01-12,Hard,R32,3,Camila Giorgi,Storm Hunter,5-7 6-1 7-6(6),35,460,1355,59
Hobart,I,2015-01-12,Hard,R32,3,Kaia Kanepi,Monica Puig,6-4 6-1,47,59,1045,880
Hobart,I,2015-01-12,Hard,R32,3,Johanna Larsson,Saisai Zheng,3-6 1-0 RET,73,78,724,690
Hobart,I,2015-01-12,Hard,R32,3,Kurumi Nara,Klara Koukalova,0-6 6-2 6-1,43,45,1127,1090
Hobart,I,2015-01-12,Hard,R32,3,Roberta Vinci,Olivia Rogowska,6-1 4-6 6-3,44,133,1107,415
Hobart,I,2015-01-12,Hard,R32,3,Annika Beck,Jana Cepelova,6-7(4) 7-5 6-4,54,56,915,906
Hobart,I,2015-01-12,Hard,R32,3,Heather Watson,Magdalena Rybarikova,7-5 6-1,49,46,1012,1046
Hobart,I,2015-01-12,Hard,R32,3,Sloane Stephens,Monica Niculescu,6-4 6-2,34,48,1372,1023
Hobart,I,2015-01-12,Hard,R32,3,Alison Riske Amritraj,Christina Mchale,6-4 RET,42,53,1145,955
Hobart,I,2015-01-12,Hard,R32,3,Bojana Jovanovski,Mirjana Lucic,5-2 RET,58,55,881,909
Hobart,I,2015-01-12,Hard,R32,3,Daniela Hantuchova,Richel Hogenkamp,7-6(10) 7-6(5),60,137,870,399
Hobart,I,2015-01-12,Hard,R32,3,Zarina Diyas,Silvia Soler Espinosa,6-3 6-4,31,66,1401,788
Hobart,I,2015-01-12,Hard,R16,3,Karin Knapp,Casey Dellacqua,7-5 2-6 6-3,51,29,985,1512
Hobart,I,2015-01-12,Hard,R16,3,Madison Brengle,Kateryna Baindl,6-1 7-6(8),84,138,667,398
Hobart,I,2015-01-12,Hard,R16,3,Camila Giorgi,Kaia Kanepi,DEF,35,47,1355,1045
Hobart,I,2015-01-12,Hard,R16,3,Kurumi Nara,Johanna Larsson,7-6(1) 6-4,43,73,1127,724
Hobart,I,2015-01-12,Hard,R16,3,Roberta Vinci,Annika Beck,3-6 6-3 6-3,44,54,1107,915
Hobart,I,2015-01-12,Hard,R16,3,Heather Watson,Sloane Stephens,6-3 6-1,49,34,1012,1372
Hobart,I,2015-01-12,Hard,R16,3,Alison Riske Amritraj,Bojana Jovanovski,6-2 4-6 6-1,42,58,1145,881
Hobart,I,2015-01-12,Hard,R16,3,Zarina Diyas,Daniela Hantuchova,7-5 6-1,31,60,1401,870
Hobart,I,2015-01-12,Hard,QF,3,Madison Brengle,Karin Knapp,6-7(3) 6-4 6-4,84,51,667,985
Hobart,I,2015-01-12,Hard,QF,3,Kurumi Nara,Camila Giorgi,6-1 3-6 6-2,43,35,1127,1355
Hobart,I,2015-01-12,Hard,QF,3,Heather Watson,Roberta Vinci,7-6(0) 6-2,49,44,1012,1107
Hobart,I,2015-01-12,Hard,QF,3,Alison Riske Amritraj,Zarina Diyas,6-3 6-0,42,31,1145,1401
Hobart,I,2015-01-12,Hard,SF,3,Madison Brengle,Kurumi Nara,6-4 1-6 6-3,84,43,667,1127
Hobart,I,2015-01-12,Hard,SF,3,Heather Watson,Alison Riske Amritraj,6-3 7-5,49,42,1012,1145
Hobart,I,2015-01-12,Hard,F,3,Heather Watson,Madison Brengle,6-3 6-4,49,84,1012,667
Bad Gastein,I,2015-07-20,Clay,R32,3,Sara Errani,Aliaksandra Sasnovich,6-4 6-4,19,123,2270,459
Bad Gastein,I,2015-07-20,Clay,R32,3,Maryna Zanevska,Ana Bogdan,6-4 6-2,133,199,414,245
Bad Gastein,I,2015-07-20,Clay,R32,3,Daria Kasatkina,Aleksandra Krunic,6-3 6-1,151,62,337,889
Bad Gastein,I,2015-07-20,Clay,R32,3,Julia Goerges,Risa Ozaki,6-3 6-4,57,137,962,384
Bad Gastein,I,2015-07-20,Clay,R32,3,Karin Knapp,Tamira Paszek,6-0 6-7(5) 7-6(6),43,242,1175,180
