tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Abu Dhabi,P,2021-01-06,Hard,SF,3,Aryna Sabalenka,Maria Sakkari,6-3 6-2,10.0,22.0,4220.0,2405.0
Abu Dhabi,P,2021-01-06,Hard,SF,3,Veronika Kudermetova,Marta Kostyuk,7-6(8) 6-4,46.0,99.0,1453.0,767.0
Abu Dhabi,P,2021-01-06,Hard,QF,3,Maria Sakkari,Sofia Kenin,2-6 6-2 6-0,22.0,4.0,2405.0,5760.0
Abu Dhabi,P,2021-01-06,Hard,QF,3,Aryna Sabalenka,Elena Rybakina,6-4 4-6 6-3,10.0,19.0,4220.0,2696.0
Abu Dhabi,P,2021-01-06,Hard,QF,3,Marta Kostyuk,Sara Sorribes Tormo,0-6 6-1 6-4,99.0,66.0,767.0,1040.0
Abu Dhabi,P,2021-01-06,Hard,QF,3,Veronika Kudermetova,Elina Svitolina,5-7 6-3 7-6(3),46.0,5.0,1453.0,5260.0
Abu Dhabi,P,2021-01-06,Hard,R16,3,Sofia Kenin,Yulia Putintseva,3-6 7-6(5) 6-4,4.0,28.0,5760.0,2015.0
Abu Dhabi,P,2021-01-06,Hard,R16,3,Maria Sakkari,Garbine Muguruza,7-5 6-4,22.0,15.0,2405.0,3016.0
Abu Dhabi,P,2021-01-06,Hard,R16,3,Aryna Sabalenka,Ons Jabeur,6-2 6-4,10.0,31.0,4220.0,1883.0
Abu Dhabi,P,2021-01-06,Hard,R16,3,Elena Rybakina,Daria Kasatkina,6-3 6-4,19.0,72.0,2696.0,985.0
Abu Dhabi,P,2021-01-06,Hard,R16,3,Marta Kostyuk,Tamara Zidansek,6-1 6-1,99.0,87.0,767.0,840.0
Abu Dhabi,P,2021-01-06,Hard,R16,3,Sara Sorribes Tormo,Anastasia Gasanova,7-5 6-3,66.0,292.0,1040.0,211.0
Abu Dhabi,P,2021-01-06,Hard,R16,3,Veronika Kudermetova,Paula Badosa,6-4 4-6 6-1,46.0,70.0,1453.0,1018.0
