tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Fed Cup G1 PO: JPN vs CHN,D,2000-04-30,Hard,RR,3,Na Li,Shinobu Asagoe,7-6(6) 6-2,190,125,121,205
Fed Cup G1 PO: JPN vs CHN,D,2000-04-30,Hard,RR,3,Ai Sugiyama,Jing Qian Yi,6-4 6-2,22,96,1230,319
Fed Cup WG SF: USA vs BEL,D,2000-11-22,Carpet,RR,3,Monica Seles,Justine Henin,7-6(1) 6-2,4,48,3255,661
Fed Cup WG SF: USA vs BEL,D,2000-11-22,Carpet,RR,3,Lindsay Davenport,Kim Clijsters,7-6(4) 4-6 6-3,2,18,5022,1398
Fed Cup WG SF: CZE vs ESP,D,2000-11-21,Carpet,RR,3,Arantxa Sanchez Vicario,Daja Bedanova,5-7 6-4 6-3,9,54,2132,610
Fed Cup WG SF: CZE vs ESP,D,2000-11-21,Carpet,RR,3,Conchita Martinez,Kveta Peschke,7-6(3) 6-7(2) 6-4,5,47,2795,690
Fed Cup WG F: USA vs ESP,D,2000-11-24,Carpet,RR,3,Monica Seles,Conchita Martinez,6-2 6-3,4,5,3255,2795
Fed Cup WG F: USA vs ESP,D,2000-11-24,Carpet,RR,3,Lindsay Davenport,Arantxa Sanchez Vicario,6-2 1-6 6-3,2,9,5022,2132
Fed Cup WG F: USA vs ESP,D,2000-11-24,Carpet,RR,3,Lindsay Davenport,Conchita Martinez,6-1 6-2,2,5,5022,2795
Fed Cup WG F: USA vs ESP,D,2000-11-24,Carpet,RR,5,Jennifer Capriati,Arantxa Sanchez Vicario,6-1 1-0 RET,14,9,1664,2132
Fed Cup WG RRC: AUS vs FRA,D,2000-04-28,Carpet,RR,3,Nathalie Dechy,Nicole Pratt,6-4 5-7 6-2,20,48,1255,643
Fed Cup WG RRC: AUS vs FRA,D,2000-04-28,Carpet,RR,3,Jelena Dokic,Sandrine Testud,6-7(4) 7-5 6-3,38,11,786,1867
Fed Cup WG RRC: RUS vs AUS,D,2000-04-29,Carpet,RR,3,Elena Likhovtseva,Nicole Pratt,6-3 6-2,16,48,1463,643
Fed Cup WG RRC: RUS vs AUS,D,2000-04-29,Carpet,RR,3,Jelena Dokic,Anna Kournikova,6-7(3) 7-5 6-3,38,14,786,1581
Fed Cup WG RRC: RUS vs FRA,D,2000-04-27,Carpet,RR,3,Sandrine Testud,Elena Likhovtseva,6-1 6-4,11,16,1867,1463
Fed Cup WG RRC: RUS vs FRA,D,2000-04-27,Carpet,RR,3,Julie Halard Decugis,Anna Kournikova,6-2 2-6 6-1,9,14,1986,1581
Fed Cup WG RRC: RUS vs BEL,D,2000-04-30,Carpet,RR,3,Elena Likhovtseva,Laurence Courtois,6-4 6-4,16,104,1463,292
Fed Cup WG RRC: RUS vs BEL,D,2000-04-30,Carpet,RR,3,Kim Clijsters,Anna Kournikova,5-7 6-2 6-4,29,13,954,1581
Fed Cup WG RRC: BEL vs FRA,D,2000-04-29,Carpet,RR,3,Els Callens,Julie Halard Decugis,3-6 6-4 6-2,85,9,366,1986
Fed Cup WG RRC: BEL vs FRA,D,2000-04-29,Carpet,RR,3,Kim Clijsters,Nathalie Tauziat,6-1 6-4,29,5,954,2549
Fed Cup WG RRC: AUS vs BEL,D,2000-04-27,Carpet,RR,3,Laurence Courtois,Nicole Pratt,6-1 2-6 7-5,104,48,292,643
Fed Cup WG RRC: AUS vs BEL,D,2000-04-27,Carpet,RR,3,Jelena Dokic,Kim Clijsters,7-6(4) 5-7 9-7,38,29,786,954
Fed Cup G1 PO: NED vs ISR,D,2000-05-20,Clay,RR,3,Amanda Hopmans,Hila Rosen,7-6(2) 6-3,82,174,386,138
Fed Cup G1 PO: NED vs ISR,D,2000-05-20,Clay,RR,3,Anna Smashnova,Seda Noorlander,6-2 6-3,47,96,645,318
Fed Cup G2 RRD: BOL vs CRC,D,2000-05-11,Clay,RR,3,Daniela Alvarez,Erika Villalobos Morsink,6-1 6-1,,,,
Fed Cup G2 RRD: BOL vs CRC,D,2000-05-11,Clay,RR,3,Viviana Rivero,Melissa Mendieta,2-6 6-0 6-3,,,,
Fed Cup G1 RRC: BLR vs SLO,D,2000-05-18,Clay,RR,3,Nadejda Ostrovskaya,Tina Krizan,6-3 7-6(9),109,136,260,191
Fed Cup G1 RRC: BLR vs SLO,D,2000-05-18,Clay,RR,3,Katarina Srebotnik,Olga Barabanschikova,6-0 3-6 6-2,88,77,347,401
Fed Cup G1 RRD: ISR vs UKR,D,2000-05-17,Clay,RR,3,Yuliya Beygelzimer,Hila Rosen,3-6 6-4 6-0,573,174,14,138
Fed Cup G1 RRD: ISR vs UKR,D,2000-05-17,Clay,RR,3,Anna Smashnova,Elena Tatarkova,6-1 6-4,47,146,645,173
Fed Cup G2 PO: DOM vs PUR,D,2000-05-12,Clay,RR,3,Glenny Cepeda,Jessica Roland Rosario,7-6(6) 6-1,,,,
Fed Cup G2 PO: DOM vs PUR,D,2000-05-12,Clay,RR,3,Joelle Schad,Mari Toro,7-6(2) 6-2,617,,11,
Fed Cup G1 RRA: CAN vs CHI,D,2000-04-25,Clay,RR,3,Jana Nejedly,Barbara Castro,6-1 6-3,71,,468,
Fed Cup G1 RRA: CAN vs CHI,D,2000-04-25,Clay,RR,3,Maureen Drake,Valentina Castro,6-0 6-1,105,,286,
Fed Cup G2 RRA: DOM vs TRI,D,2000-05-10,Clay,RR,3,Glenny Cepeda,Sheenagh Cosgrove,6-3 6-2,,,,
Fed Cup G2 RRA: DOM vs TRI,D,2000-05-10,Clay,RR,3,Anneliese Rose,Joelle Schad,6-2 6-4,,617,,11
Fed Cup G2 RRC: JAM vs PUR,D,2000-05-11,Clay,RR,3,Tari Ann Toro,Tinesta Rowe,6-4 6-0,,,,
Fed Cup G2 RRC: JAM vs PUR,D,2000-05-11,Clay,RR,3,Mari Toro,Anya Moyston,6-0 6-0,,,,
Fed Cup G1 RRB: CUB vs MEX,D,2000-04-29,Clay,RR,3,Melody Falco,Yanet Nunez Mojarena,6-4 6-3,390,,32,
Fed Cup G1 RRB: CUB vs MEX,D,2000-04-29,Clay,RR,3,Jessica Fernandez,Yoannis Montesino,7-5 6-4,275,812,68,5
Fed Cup G1 RRD: FIN vs ISR,D,2000-05-15,Clay,RR,3,Hila Rosen,Kirsi Lampinen,6-1 6-3,174,928,138,3
Fed Cup G1 RRD: FIN vs ISR,D,2000-05-15,Clay,RR,3,Anna Smashnova,Petra Puheloinen,6-4 6-2,47,549,645,16
Fed Cup G1 RRD: FIN vs LUX,D,2000-05-17,Clay,RR,3,Claudine Schaul,Hanna Katri Aalto,6-0 6-2,530,702,17,8
Fed Cup G1 RRD: FIN vs LUX,D,2000-05-17,Clay,RR,3,Anne Kremer,Petra Puheloinen,6-3 4-6 6-1,34,549,802,16
Fed Cup G1 RRD: FIN vs UKR,D,2000-05-19,Clay,RR,3,Anna Zaporozhanova,Hanna Katri Aalto,6-4 6-1,264,702,73,8
Fed Cup G1 RRD: FIN vs UKR,D,2000-05-19,Clay,RR,3,Elena Tatarkova,Petra Puheloinen,6-1 6-2,146,549,173,16
Fed Cup G1 RRC: BLR vs POL,D,2000-05-15,Clay,RR,3,Nadejda Ostrovskaya,Joanna Sakowicz Kostecka,6-1 6-4,109,897,260,3
Fed Cup G1 RRC: BLR vs POL,D,2000-05-15,Clay,RR,3,Olga Barabanschikova,Katarzyna Straczy,6-0 6-3,77,292,401,62
Fed Cup G1 RRD: ISR vs LUX,D,2000-05-16,Clay,RR,3,Claudine Schaul,Tzipi Obziler,2-6 6-3 6-3,530,161,17,153
