tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Fed Cup WG R1: FRA vs ITA,D,2006-04-22,Clay,RR,3,Francesca Schiavone,Nathalie Dechy,6-7(5) 6-3 6-3,11,21,1365,845
Fed Cup WG R1: FRA vs ITA,D,2006-04-22,Clay,RR,3,Amelie Mauresmo,Flavia Pennetta,6-1 6-1,1,20,3511,923
Fed Cup WG R1: FRA vs ITA,D,2006-04-22,Clay,RR,3,Francesca Schiavone,Amelie Mauresmo,4-6 7-6(4) 6-4,11,1,1365,3511
Fed Cup WG R1: FRA vs ITA,D,2006-04-22,Clay,RR,3,Flavia Pennetta,Nathalie Dechy,6-4 6-2,20,21,923,845
Fed Cup WG R1: ESP vs AUT,D,2006-04-22,Clay,RR,3,Lourdes Dominguez Lino,Sybille Bammer,7-6(5) 3-6 6-3,43,53,483,428
Fed Cup WG R1: ESP vs AUT,D,2006-04-22,Clay,RR,3,Anabel Medina Garrigues,Yvonne Meusburger,6-3 7-5,24,126,762,232
Fed Cup WG R1: ESP vs AUT,D,2006-04-22,Clay,RR,3,Anabel Medina Garrigues,Sybille Bammer,6-0 6-3,24,53,762,428
Fed Cup WG R1: ESP vs AUT,D,2006-04-22,Clay,RR,3,Maria Sanchez Lorenzo,Tamira Paszek,6-4 6-7(5) 7-5,64,334,381,62
Fed Cup WG R1: GER vs USA,D,2006-04-22,Clay,RR,3,Jamea Jackson,Anna Lena Groenefeld,6-2 3-6 7-5,75,14,347,1136
Fed Cup WG R1: GER vs USA,D,2006-04-22,Clay,RR,3,Jill Craybas,Julia Schruff,4-6 6-2 7-5,39,52,517,431
Fed Cup WG R1: GER vs USA,D,2006-04-22,Clay,RR,3,Anna Lena Groenefeld,Jill Craybas,6-2 7-5,14,39,1136,517
Fed Cup WG R1: GER vs USA,D,2006-04-22,Clay,RR,3,Jamea Jackson,Martina Muller,7-6(2) 6-2,75,104,347,269
Fed Cup WG R1: BEL vs RUS,D,2006-04-22,Clay,RR,3,Elena Dementieva,Kim Clijsters,6-4 6-3,9,2,1877,2941
Fed Cup WG R1: BEL vs RUS,D,2006-04-22,Clay,RR,3,Justine Henin,Nadia Petrova,6-7(2) 6-4 6-3,4,5,2693,2530
Fed Cup WG R1: BEL vs RUS,D,2006-04-22,Clay,RR,3,Kim Clijsters,Maria Kirilenko,6-1 6-4,2,22,2941,800
Fed Cup WG R1: BEL vs RUS,D,2006-04-22,Clay,RR,3,Justine Henin,Elena Dementieva,6-2 6-0,4,9,2693,1877
Fed Cup WG SF: ESP vs ITA,D,2006-07-15,Clay,RR,3,Flavia Pennetta,Anabel Medina Garrigues,6-3 6-0,18,24,991,760
Fed Cup WG SF: ESP vs ITA,D,2006-07-15,Clay,RR,3,Francesca Schiavone,Lourdes Dominguez Lino,6-4 7-5,14,47,1336,452
Fed Cup WG SF: ESP vs ITA,D,2006-07-15,Clay,RR,3,Anabel Medina Garrigues,Francesca Schiavone,6-2 6-2,24,14,760,1336
Fed Cup WG SF: ESP vs ITA,D,2006-07-15,Clay,RR,3,Flavia Pennetta,Lourdes Dominguez Lino,6-2 6-4,18,47,991,452
Fed Cup WG SF: BEL vs USA,D,2006-07-15,Hard,RR,3,Kirsten Flipkens,Jill Craybas,5-7 6-2 6-4,122,70,224,381
Fed Cup WG SF: BEL vs USA,D,2006-07-15,Hard,RR,3,Kim Clijsters,Jamea Jackson,4-6 6-2 6-1,2,67,3377,382
Fed Cup WG SF: BEL vs USA,D,2006-07-15,Hard,RR,3,Kim Clijsters,Vania King,6-0 6-1,2,79,3377,342
Fed Cup WG SF: BEL vs USA,D,2006-07-15,Hard,RR,5,Kirsten Flipkens,Mashona Washington,2-6 3-1 RET,122,134,224,208
Fed Cup WG F: BEL vs ITA,D,2006-09-16,Hard,RR,3,Francesca Schiavone,Kirsten Flipkens,6-1 6-3,14,98,1278,297
Fed Cup WG F: BEL vs ITA,D,2006-09-16,Hard,RR,3,Justine Henin,Flavia Pennetta,6-4 7-5,2,20,3474,897
Fed Cup WG F: BEL vs ITA,D,2006-09-16,Hard,RR,3,Justine Henin,Francesca Schiavone,6-4 7-5,2,14,3474,1278
Fed Cup WG F: BEL vs ITA,D,2006-09-16,Hard,RR,3,Mara Santangelo,Kirsten Flipkens,6-7(3) 6-3 6-0,33,98,612,297
Fed Cup WG PO: JPN vs AUT,D,2006-07-15,Hard,RR,3,Akiko Morigami,Barbara Schwartz,7-6(3) 6-0,48,666,445,15
Fed Cup WG PO: JPN vs AUT,D,2006-07-15,Hard,RR,3,Ai Sugiyama,Melanie Klaffner,7-5 6-1,19,786,874,11
Fed Cup WG PO: JPN vs AUT,D,2006-07-15,Hard,RR,3,Aiko Nakamura,Barbara Schwartz,6-2 7-5,71,666,377,15
Fed Cup WG PO: JPN vs AUT,D,2006-07-15,Hard,RR,3,Akiko Morigami,Nikola Hofmanova,6-2 6-3,48,,445,
Fed Cup WG PO: FRA vs CZE,D,2006-07-15,Clay,RR,3,Nicole Vaidisova,Tatiana Golovin,6-1 3-6 11-9,12,32,1435,638
Fed Cup WG PO: FRA vs CZE,D,2006-07-15,Clay,RR,3,Nathalie Dechy,Lucie Safarova,5-7 6-3 9-7,28,41,688,487
Fed Cup WG PO: FRA vs CZE,D,2006-07-15,Clay,RR,3,Nicole Vaidisova,Nathalie Dechy,6-2 6-3,12,28,1435,688
Fed Cup WG PO: FRA vs CZE,D,2006-07-15,Clay,RR,3,Tatiana Golovin,Lucie Safarova,6-2 6-1,32,41,638,487
Fed Cup WG PO: CHN vs GER,D,2006-07-15,Hard,RR,3,Na Li,Kristina Barrois,6-3 6-4,22,129,792,215
Fed Cup WG PO: CHN vs GER,D,2006-07-15,Hard,RR,3,Jie Zheng,Kathrin Woerle,6-4 7-5,34,154,622,186
Fed Cup WG PO: CHN vs GER,D,2006-07-15,Hard,RR,3,Na Li,Kathrin Woerle,7-5 7-5,22,154,792,186
Fed Cup WG PO: CHN vs GER,D,2006-07-15,Hard,RR,3,Tatjana Maria,Tian Tian Sun,4-6 6-3 6-3,289,88,76,312
Fed Cup WG PO: CRO vs RUS,D,2006-07-15,Clay,RR,3,Anna Chakvetadze,Ivana Lisjak,7-6(2) 7-6(3),31,106,656,262
Fed Cup WG PO: CRO vs RUS,D,2006-07-15,Clay,RR,3,Elena Dementieva,Sanja Ancic,6-3 7-5,6,274,2040,81
Fed Cup WG PO: CRO vs RUS,D,2006-07-15,Clay,RR,3,Elena Dementieva,Karolina Sprem,6-1 6-3,6,49,2040,442
Fed Cup WG PO: CRO vs RUS,D,2006-07-15,Clay,RR,3,Sanja Ancic,Vera Dushevina,7-6(5) 6-2,274,61,81,400
Fed Cup WG2 R1: JPN vs SUI,D,2006-04-22,Hard,RR,3,Aiko Nakamura,Timea Bacsinszky,6-2 3-6 6-1,62,233,399,106
Fed Cup WG2 R1: JPN vs SUI,D,2006-04-22,Hard,RR,3,Ai Sugiyama,Stefanie Voegele,6-2 4-6 6-1,23,,789,
Fed Cup WG2 R1: JPN vs SUI,D,2006-04-22,Hard,RR,3,Timea Bacsinszky,Shinobu Asagoe,6-2 6-2,233,90,106,305
Fed Cup WG2 R1: JPN vs SUI,D,2006-04-22,Hard,RR,3,Aiko Nakamura,Nicole Riner,6-1 3-6 6-2,62,,399,
Fed Cup WG2 R1: CRO vs ARG,D,2006-04-22,Carpet,RR,3,Karolina Sprem,Maria Jose Argeri,6-2 6-4,74,182,347,150
Fed Cup WG2 R1: CRO vs ARG,D,2006-04-22,Carpet,RR,3,Mariana Diaz Oliva,Ivana Lisjak,6-2 3-6 6-4,72,117,349,244
Fed Cup WG2 R1: CRO vs ARG,D,2006-04-22,Carpet,RR,3,Karolina Sprem,Mariana Diaz Oliva,6-4 6-2,74,72,347,349
Fed Cup WG2 R1: CRO vs ARG,D,2006-04-22,Carpet,RR,3,Maria Jose Argeri,Ivana Lisjak,2-6 6-1 6-4,182,117,150,244
Fed Cup WG2 R1: THA vs CZE,D,2006-04-22,Hard,RR,3,Suchanun Viratprasert,Iveta Benesova,6-4 6-4,192,45,139,475
Fed Cup WG2 R1: THA vs CZE,D,2006-04-22,Hard,RR,3,Nicole Vaidisova,Montinee Tangphong,6-0 6-2,15,282,1074,86
Fed Cup WG2 R1: THA vs CZE,D,2006-04-22,Hard,RR,3,Nicole Vaidisova,Suchanun Viratprasert,3-6 6-2 6-0,15,192,1074,139
Fed Cup WG2 R1: THA vs CZE,D,2006-04-22,Hard,RR,3,Klara Koukalova,Montinee Tangphong,6-2 7-6(5),33,282,625,86
Fed Cup WG2 R1: INA vs CHN,D,2006-04-22,Hard,RR,3,Na Li,Angelique Widjaja,6-3 4-6 6-3,56,622,421,18
Fed Cup WG2 R1: INA vs CHN,D,2006-04-22,Hard,RR,3,Shuai Peng,Romana Tedjakusuma,2-6 6-4 6-0,65,244,378,101
Fed Cup WG2 R1: INA vs CHN,D,2006-04-22,Hard,RR,3,Na Li,Romana Tedjakusuma,6-3 6-4,56,244,421,101
Fed Cup WG2 R1: INA vs CHN,D,2006-04-22,Hard,RR,3,Shuai Peng,Angelique Widjaja,6-3 6-0,65,622,378,18
Fed Cup WG2 PO: CAN vs ARG,D,2006-07-15,Hard,RR,3,Gisela Dulko,Stephanie Dubois,6-4 6-3,33,151,633,188
Fed Cup WG2 PO: CAN vs ARG,D,2006-07-15,Hard,RR,3,Aleksandra Wozniak,Mariana Diaz Oliva,6-2 6-4,146,112,194,254
Fed Cup WG2 PO: CAN vs ARG,D,2006-07-15,Hard,RR,3,Aleksandra Wozniak,Gisela Dulko,7-6(6) 6-3,146,33,194,633
Fed Cup WG2 PO: CAN vs ARG,D,2006-07-15,Hard,RR,3,Stephanie Dubois,Clarisa Fernandez,6-2 6-4,151,164,188,176
Fed Cup WG2 PO: SVK vs THA,D,2006-07-15,Hard,RR,3,Daniela Hantuchova,Montinee Tangphong,6-1 6-1,17,303,1086,69
Fed Cup WG2 PO: SVK vs THA,D,2006-07-15,Hard,RR,3,Magdalena Rybarikova,Suchanun Viratprasert,6-3 6-3,221,214,116,122
Fed Cup WG2 PO: SVK vs THA,D,2006-07-15,Hard,RR,3,Daniela Hantuchova,Suchanun Viratprasert,6-1 6-3,17,214,1086,122
Fed Cup WG2 PO: SVK vs THA,D,2006-07-15,Hard,RR,3,Dominika Cibulkova,Montinee Tangphong,6-3 6-1,286,303,77,69
Fed Cup WG2 PO: SUI vs AUS,D,2006-07-15,Hard,RR,3,Samantha Stosur,Nicole Riner,6-1 6-2,43,,479,
Fed Cup WG2 PO: SUI vs AUS,D,2006-07-15,Hard,RR,3,Nicole Pratt,Timea Bacsinszky,6-2 7-5,115,176,248,154
Fed Cup WG2 PO: SUI vs AUS,D,2006-07-15,Hard,RR,3,Samantha Stosur,Timea Bacsinszky,6-4 6-2,43,176,479,154
Fed Cup WG2 PO: SUI vs AUS,D,2006-07-15,Hard,RR,3,Alicia Molik,Stefanie Voegele,6-2 3-6 6-0,201,,130,
Fed Cup G1 PO: COL vs URU,D,2006-04-22,Clay,RR,3,Maria Eugenia Roca Recarey,Viky Nunez Fuentes,7-6(5) 6-2,909,1232,8,3
Fed Cup G1 PO: COL vs URU,D,2006-04-22,Clay,RR,3,Mariana Duque Marino,Estefania Craciun,6-1 1-6 6-4,834,337,10,60
Fed Cup G1 PO: CUB vs CHI,D,2006-04-22,Clay,RR,3,Valentina Castro,Yanet Nunez Mojarena,6-1 1-6 6-3,994,981,6,6
Fed Cup G1 PO: CUB vs CHI,D,2006-04-22,Clay,RR,3,Andrea Koch Benvenuto,Yamile Fors Guerra,7-6(3) 6-4,558,816,23,10
Fed Cup G1 PO: MEX vs PUR,D,2006-04-22,Clay,RR,3,Vilmarie Castellvi,Erika Clarke Magana,6-1 6-1,176,642,157,17
Fed Cup G1 PO: MEX vs PUR,D,2006-04-22,Clay,RR,3,Kristina Brandi,Daniela Munoz Gallegos,6-2 6-2,98,408,288,40
Fed Cup G1 PO: CAN vs BRA,D,2006-04-22,Clay,RR,3,Stephanie Dubois,Jenifer Widjaja,3-6 6-4 7-5,154,291,178,81
Fed Cup G1 PO: CAN vs BRA,D,2006-04-22,Clay,RR,3,Aleksandra Wozniak,Maria Fernanda Alves,6-4 6-0,141,160,199,176
Fed Cup G1 PO: KOR vs PHI,D,2006-04-22,Hard,RR,3,Kyung Mi Chang,Denise Dy,6-3 6-1,546,1109,24,4
Fed Cup G1 PO: KOR vs PHI,D,2006-04-22,Hard,RR,3,Mi Yoo,Czarina Mae Arevalo,6-2 6-2,361,675,51,15
Fed Cup G1 PO: NZL vs UZB,D,2006-04-22,Hard,RR,3,Iroda Tulyaganova,Leanne Baker,6-3 7-5,447,373,34,48
Fed Cup G1 PO: NZL vs UZB,D,2006-04-22,Hard,RR,3,Marina Erakovic,Akgul Amanmuradova,7-5 6-1,210,170,120,165
Fed Cup G1 PO: AUS vs IND,D,2006-04-22,Hard,RR,3,Shikha Uberoi,Casey Dellacqua,6-3 6-2,183,179,150,154
Fed Cup G1 PO: AUS vs IND,D,2006-04-22,Hard,RR,3,Samantha Stosur,Sania Mirza,6-4 6-2,57,40,414,516
Fed Cup G1 PO: UKR vs FIN,D,2006-04-22,Clay,RR,3,Olena Antypina,Piia Suomalainen,6-7(6) 6-1 6-2,204,661,124,16
Fed Cup G1 PO: UKR vs FIN,D,2006-04-22,Clay,RR,3,Kateryna Bondarenko,Emma Laine,6-3 6-7(9) 9-7,113,66,254,377
Fed Cup G1 PO: SWE vs RSA,D,2006-04-22,Clay,RR,3,Johanna Larsson,Elze Potgieter,6-1 6-0,504,,27,
Fed Cup G1 PO: SWE vs RSA,D,2006-04-22,Clay,RR,3,Sofia Arvidsson,Alicia Pillay,6-1 6-1,31,560,633,23
Fed Cup G1 PO: SVK vs GBR,D,2006-04-22,Clay,RR,3,Magdalena Rybarikova,Elena Baltacha,7-5 6-3,287,205,84,123
Fed Cup G1 PO: SVK vs GBR,D,2006-04-22,Clay,RR,3,Daniela Hantuchova,Anne Keothavong,6-2 6-1,16,150,1005,182
Fed Cup G1 PO: SCG vs ISR,D,2006-04-22,Clay,RR,5,Ana Timotic,Anna Smashnova,5-7 4-5 RET,214,41,118,508
Fed Cup G1 PO: SCG vs ISR,D,2006-04-22,Clay,RR,3,Shahar Peer,Ana Ivanovic,6-2 4-6 6-4,36,17,535,954
Fed Cup G2 PO: LTU vs POR,D,2006-04-29,Clay,RR,3,Aurelija Miseviciute,Ana Catarina Nogueira,3-6 6-0 6-0,,854,,9
Fed Cup G2 PO: LTU vs POR,D,2006-04-29,Clay,RR,3,Lina Stanciute,Magali De Lattre,6-2 6-1,282,481,84,30
Fed Cup G2 PO: POL vs GEO,D,2006-04-29,Clay,RR,3,Urszula Radwanska,Ia Jikia,6-2 2-6 6-1,504,690,27,15
Fed Cup G2 PO: POL vs GEO,D,2006-04-29,Clay,RR,3,Agnieszka Radwanska,Margalita Chakhnashvili,6-3 6-1,312,227,75,111
Fed Cup G2 RRB: DOM vs PAR,D,2006-04-19,Hard,RR,3,Francesca Segarelli,Veronica Cepede Royg,6-0 6-1,,,,
Fed Cup G2 RRB: DOM vs PAR,D,2006-04-19,Hard,RR,3,Diana Espinal,Adriana Pereira,6-4 6-1,,,,
Fed Cup G2 RRB: PAR vs BER,D,2006-04-17,Hard,RR,3,Veronica Cepede Royg,Jacklyn Lambert,6-0 6-0,,,,
Fed Cup G2 RRB: PAR vs BER,D,2006-04-17,Hard,RR,3,Adriana Pereira,Ashley Brooks,6-3 6-2,,,,
Fed Cup G2 RRB: DOM vs BER,D,2006-04-18,Hard,RR,3,Francesca Segarelli,Jacklyn Lambert,6-1 6-0,,,,
Fed Cup G2 RRB: DOM vs BER,D,2006-04-18,Hard,RR,3,Diana Espinal,Ashley Brooks,6-2 6-1,,,,
