tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Steffi Graf,Janette Husarova,5-1 RET,1,79,4649,309
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Larisa Savchenko,Evie Dominikovic,6-2 6-7(2) 6-0,61,347,363,35
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Ines Gorrochategui,Bryanne Stewart,6-2 6-1,98,498,249,17
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Gigi Fernandez,Els Callens,6-4 6-3,114,47,208,535
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Lindsay Lee Waters,Barbara Mulej,2-6 6-3 6-2,105,129,224,181
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Magui Serna,Miho Saeki,6-3 6-7(6) 7-5,108,110,213,211
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Jana Kandarr,Kyoko Nagatsuka,6-3 3-6 6-3,77,126,314,183
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Amanda Coetzer,Anna Kournikova,6-2 6-2,14,67,1454,343
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Brenda Schultz Mccarthy,Sung Hee Park,6-2 2-6 6-2,13,101,1469,239
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Rika Hiraki,Ludmila Richterova,6-4 2-6 6-4,86,70,278,333
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Kimberly Po Messerli,Gala Leon Garcia,4-6 7-6(4) 6-2,23,92,979,266
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Ai Sugiyama,Catalina Cristea,7-6(3) 6-4,29,81,897,300
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Jane Taylor,Maria Sanchez Lorenzo,7-5 4-6 7-5,199,130,92,181
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Tamarine Tanasugarn,Elena Makarova,6-3 1-6 6-4,66,60,348,364
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Flora Perfetti,Katarina Studenikova,6-4 7-6(1),71,33,331,800
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Lindsay Davenport,Nathalie Dechy,4-6 6-1 6-1,9,76,2245,316
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Conchita Martinez,Miriam Oremans,6-0 6-2,5,44,3180,551
Australian Open,Grand Slam,1997-01-13,Hard,R128,3,Adriana Gersi,Sandra Dopfer,7-6(7) 6-2,100,89,244,270
