tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Fed Cup WG R1: JPN vs SWE,D,1989-10-01,Hard,RR,3,Nana Smith,Cecilia Dahlman,1-6 6-1 6-2,107,97,11,12
Fed Cup WG R1: JPN vs SWE,D,1989-10-01,Hard,RR,3,Akiko Kijimuta,Catarina Lindqvist Ryan,6-2 6-2,64,17,17,46
Fed Cup WG R1: MEX vs AUT,D,1989-10-01,Hard,RR,3,Judith Wiesner,Claudia Hernandez Salas,6-4 6-0,42,437,28,0
Fed Cup WG R1: MEX vs AUT,D,1989-10-01,Hard,RR,3,Xochitl Escobedo,Barbara Paulus,3-6 6-4 6-3,315,21,1,40
Fed Cup WG R2: URS vs CAN,D,1989-10-01,Hard,RR,3,Larisa Savchenko,Rene Simpson,6-1 6-0,37,94,30,12
Fed Cup WG R2: URS vs CAN,D,1989-10-01,Hard,RR,3,Helen Kelesi,Leila Meskhi,6-1 7-5,18,36,44,30
Fed Cup WG ConR: FIN vs SWE,D,1989-10-01,Hard,RR,3,Nanne Dahlman,Cecilia Dahlman,6-4 6-2,290,97,1,12
Fed Cup WG ConR: FIN vs SWE,D,1989-10-01,Hard,RR,3,Anne Aallonen,Maria Strandlund Tomsvik,7-5 6-2,182,96,4,12
Fed Cup WG ConR: ITA vs MEX,D,1989-10-01,Hard,RR,3,Laura Garrone,Aranzazu Gallardo,6-1 6-0,85,367,14,0
Fed Cup WG ConR: ITA vs MEX,D,1989-10-01,Hard,RR,3,Laura Golarsa,Xochitl Escobedo,7-5 6-3,72,315,17,1
Fed Cup WG ConR: ISR vs YUG,D,1989-10-01,Hard,RR,3,Hagit Ohayon,Nadin Ercegovic,6-2 6-3,,,,
Fed Cup WG ConR: ISR vs YUG,D,1989-10-01,Hard,RR,3,Sabrina Goles,Ilana Berger,1-6 6-4 6-4,106,297,11,1
Fed Cup WG R1: ITA vs NZL,D,1989-10-01,Hard,RR,3,Claudine Toleafoa,Sandra Cecchini,6-4 4-6 10-8,222,25,2,37
Fed Cup WG R1: ITA vs NZL,D,1989-10-01,Hard,RR,3,Belinda Cordwell,Raffaella Reggi Concato,6-4 6-1,19,20,43,41
Fed Cup WG ConR: FIN vs MLT,D,1989-10-01,Hard,RR,3,Nanne Dahlman,Alexia Gera,6-0 6-1,290,,1,
Fed Cup WG ConR: FIN vs MLT,D,1989-10-01,Hard,RR,3,Petra Thoren,Carol Cassar Torreggiani,6-2 6-0,181,,4,
Fed Cup WG PO: KOR vs ISR,D,1989-10-01,Hard,RR,3,Sook Ja Im,Hagit Ohayon,6-4 6-2,,,,
