tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Fed Cup WG R1: RUS vs ESP,D,2012-02-04,Hard,RR,3,Maria Sharapova,Silvia Soler Espinosa,6-2 6-1,3,77,7560,837
Fed Cup WG R1: RUS vs ESP,D,2012-02-04,Hard,RR,3,Svetlana Kuznetsova,Carla Suarez Navarro,6-3 6-1,19,55,2526,1078
Fed Cup WG R1: RUS vs ESP,D,2012-02-04,Hard,RR,3,Carla Suarez Navarro,Nadia Petrova,6-0 6-3,55,33,1078,1705
Fed Cup WG R1: RUS vs ESP,D,2012-02-04,Hard,RR,3,Svetlana Kuznetsova,Silvia Soler Espinosa,6-2 4-6 6-3,19,77,2526,837
Fed Cup WG R1: BEL vs SRB,D,2012-02-04,Hard,RR,3,Jelena Jankovic,Kirsten Flipkens,7-5 7-5,13,176,3295,368
Fed Cup WG R1: BEL vs SRB,D,2012-02-04,Hard,RR,3,Yanina Wickmayer,Bojana Jovanovski,6-4 6-4,29,105,1955,615
Fed Cup WG R1: BEL vs SRB,D,2012-02-04,Hard,RR,3,Yanina Wickmayer,Aleksandra Krunic,6-1 6-0,29,198,1955,316
Fed Cup WG R1: BEL vs SRB,D,2012-02-04,Hard,RR,3,Bojana Jovanovski,Kirsten Flipkens,6-2 6-4,105,176,615,368
Fed Cup WG R1: ITA vs UKR,D,2012-02-04,Clay,RR,3,Sara Errani,Kateryna Bondarenko,6-2 6-3,34,89,1685,724
Fed Cup WG R1: ITA vs UKR,D,2012-02-04,Clay,RR,3,Lesia Tsurenko,Francesca Schiavone,6-1 6-2,121,11,552,3640
Fed Cup WG R1: ITA vs UKR,D,2012-02-04,Clay,RR,3,Francesca Schiavone,Kateryna Bondarenko,6-7(6) 7-5 6-4,11,89,3640,724
Fed Cup WG R1: ITA vs UKR,D,2012-02-04,Clay,RR,5,Lesia Tsurenko,Sara Errani,6-1 3-0 RET,121,34,552,1685
Fed Cup WG R1: GER vs CZE,D,2012-02-04,Hard,RR,3,Iveta Benesova,Sabine Lisicki,2-6 6-4 6-2,49,14,1198,3143
Fed Cup WG R1: GER vs CZE,D,2012-02-04,Hard,RR,3,Petra Kvitova,Julia Goerges,3-6 6-3 10-8,2,21,7690,2345
Fed Cup WG R1: GER vs CZE,D,2012-02-04,Hard,RR,3,Petra Kvitova,Sabine Lisicki,6-7(2) 6-4 6-1,2,14,7690,3143
Fed Cup WG R1: GER vs CZE,D,2012-02-04,Hard,RR,3,Angelique Kerber,Lucie Hradecka,6-4 6-4,27,47,1965,1241
Fed Cup WG SF: RUS vs SRB,D,2012-04-21,Clay,RR,3,Jelena Jankovic,Anastasia Pavlyuchenkova,6-4 6-3,18,22,2500,2305
Fed Cup WG SF: RUS vs SRB,D,2012-04-21,Clay,RR,3,Svetlana Kuznetsova,Ana Ivanovic,6-2 2-6 6-4,27,15,1902,2785
Fed Cup WG SF: RUS vs SRB,D,2012-04-21,Clay,RR,3,Ana Ivanovic,Anastasia Pavlyuchenkova,3-6 6-0 6-3,15,22,2785,2305
