tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Fed Cup WG1 PO: SUI vs AUT,D,2005-07-09,Clay,RR,3,Yvonne Meusburger,Stefanie Voegele,7-6(4) 6-1,135,1024,263,5
Fed Cup WG1 PO: SUI vs AUT,D,2005-07-09,Clay,RR,3,Tamira Paszek,Timea Bacsinszky,6-3 6-3,,280,,93
Fed Cup WG1 PO: SUI vs AUT,D,2005-07-09,Clay,RR,3,Timea Bacsinszky,Yvonne Meusburger,6-3 6-4,280,135,93,263
Fed Cup WG1 PO: SUI vs AUT,D,2005-07-09,Clay,RR,3,Tamira Paszek,Myriam Casanova,6-1 6-3,,,,
Fed Cup WG1 PO: BEL vs ARG,D,2005-07-09,Hard,RR,3,Kim Clijsters,Mariana Diaz Oliva,6-1 6-2,14,71,2074,501
Fed Cup WG1 PO: BEL vs ARG,D,2005-07-09,Hard,RR,3,Gisela Dulko,Els Callens,6-1 6-3,30,166,941,206
Fed Cup WG1 PO: BEL vs ARG,D,2005-07-09,Hard,RR,3,Kim Clijsters,Gisela Dulko,6-4 6-1,14,30,2074,941
Fed Cup WG1 PO: BEL vs ARG,D,2005-07-09,Hard,RR,3,Mariana Diaz Oliva,Kirsten Flipkens,6-2 6-2,71,176,501,191
Fed Cup WG1 PO: CRO vs GER,D,2005-07-09,Clay,RR,3,Karolina Sprem,Julia Schruff,6-3 6-4,62,91,593,392
Fed Cup WG1 PO: CRO vs GER,D,2005-07-09,Clay,RR,3,Anna Lena Groenefeld,Jelena Kostanic Tosic,6-1 7-6(5),36,63,796,569
Fed Cup WG1 PO: CRO vs GER,D,2005-07-09,Clay,RR,3,Anna Lena Groenefeld,Karolina Sprem,6-3 6-7(5) 6-2,36,62,796,593
Fed Cup WG1 PO: CRO vs GER,D,2005-07-09,Clay,RR,3,Sandra Kloesel,Jelena Kostanic Tosic,6-2 6-4,117,63,317,569
Fed Cup WG1 PO: CZE vs ITA,D,2005-07-09,Carpet,RR,3,Francesca Schiavone,Kveta Peschke,6-4 7-5,23,41,1148,766
