tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
San Antonio WCT,A,1975-02-23,Hard,R32,3,Marty Riessen,Anand Amritraj,6-3 6-2,12,85,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Cliff Drysdale,Pancho Walthall,6-2 6-3,19,,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Eddie Dibbs,Milan Holecek,6-4 6-4,20,90,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,John Alexander,Gerald Battrick,6-0 6-1,28,100,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Paul Gerken,Jun Kamiwazumi,6-4 6-0,69,102,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Zan Guerry,Jiri Hrebec,6-3 6-7(2) 6-3,231,44,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Tom Edlefsen,Barry Phillips Moore,6-3 7-5,119,76,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Dick Stockton,Cliff Richey,2-6 6-4 6-2,16,25,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Stan Smith,Grover Raz Reid,6-4 6-1,9,83,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Mark Cox,Graham Stilwell,6-4 6-2,32,127,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Vijay Amritraj,Pat Cramer,6-1 6-7(5) 6-3,40,159,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Mike Estep,Erik Van Dillen,7-6(6) 3-6 6-3,101,60,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Bob Lutz,Vladimir Zednik,6-4 5-7 6-2,48,93,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Trey Waltke,Russell Simpson,6-3 4-6 6-4,168,323,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Haroon Rahim,Tom Gorman,6-4 6-7(3) 7-6(2),124,22,,
San Antonio WCT,A,1975-02-23,Hard,R32,3,Phil Dent,Harold Solomon,7-6(3) 6-3,43,15,,
San Antonio WCT,A,1975-02-23,Hard,R16,3,Marty Riessen,Cliff Drysdale,6-4 6-3,12,19,,
San Antonio WCT,A,1975-02-23,Hard,R16,3,John Alexander,Eddie Dibbs,3-6 7-6(6) 6-1,28,20,,
San Antonio WCT,A,1975-02-23,Hard,R16,3,Paul Gerken,Zan Guerry,6-2 6-4,69,231,,
San Antonio WCT,A,1975-02-23,Hard,R16,3,Dick Stockton,Tom Edlefsen,3-6 6-1 6-2,16,119,,
San Antonio WCT,A,1975-02-23,Hard,R16,3,Stan Smith,Mark Cox,6-2 6-4,9,32,,
San Antonio WCT,A,1975-02-23,Hard,R16,3,Mike Estep,Vijay Amritraj,3-6 6-3 6-3,101,40,,
San Antonio WCT,A,1975-02-23,Hard,R16,3,Bob Lutz,Trey Waltke,6-1 6-0,48,168,,
San Antonio WCT,A,1975-02-23,Hard,R16,3,Phil Dent,Haroon Rahim,6-4 6-3,43,124,,
San Antonio WCT,A,1975-02-23,Hard,QF,3,John Alexander,Marty Riessen,6-3 6-4,28,12,,
San Antonio WCT,A,1975-02-23,Hard,QF,3,Dick Stockton,Paul Gerken,6-3 6-3,16,69,,
San Antonio WCT,A,1975-02-23,Hard,QF,3,Stan Smith,Mike Estep,6-4 6-1,9,101,,
San Antonio WCT,A,1975-02-23,Hard,QF,3,Bob Lutz,Phil Dent,7-5 6-2,48,43,,
San Antonio WCT,A,1975-02-23,Hard,SF,3,Dick Stockton,John Alexander,7-6(4) 6-2,16,28,,
San Antonio WCT,A,1975-02-23,Hard,SF,3,Stan Smith,Bob Lutz,6-3 4-6 6-2,9,48,,
San Antonio WCT,A,1975-02-23,Hard,F,3,Dick Stockton,Stan Smith,7-5 2-6 7-6(6),16,9,,
St. Petersburg WCT,A,1975-02-03,Hard,R32,3,Vitas Gerulaitis,Anand Amritraj,6-3 6-1,47,85,,
St. Petersburg WCT,A,1975-02-03,Hard,R32,3,Andrew Pattison,Allan Stone,7-5 6-3,27,49,,
St. Petersburg WCT,A,1975-02-03,Hard,R32,3,Geoff Masters,Alvaro Betancur,6-3 6-1,54,281,,
