tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Guaruja,A,1987-01-26,Hard,R32,3,Cassio Motta,Lawson Duncan,6-4 6-1,48,182,,
Guaruja,A,1987-01-26,Hard,R32,3,Peter Moraing,Alejandro Ganzabal,6-4 6-4,153,119,,
Guaruja,A,1987-01-26,Hard,R32,3,Jimmy Brown,Charles Bud Cox,6-4 6-4,156,181,,
Guaruja,A,1987-01-26,Hard,R32,3,Ricardo Acuna,Tore Meinecke,6-2 6-1,171,124,,
Guaruja,A,1987-01-26,Hard,R32,3,Ronnie Bathman,Ronald Agenor,2-6 7-6 6-0,197,76,,
Guaruja,A,1987-01-26,Hard,R32,3,Jose Lopez Maeso,Marcelo Hennemann,6-2 6-4,215,408,,
Guaruja,A,1987-01-26,Hard,R32,3,Victor Pecci,Jose Daher,6-3 6-1,146,304,,
Guaruja,A,1987-01-26,Hard,R32,3,Mark Buckley,Carlos Kirmayr,4-6 6-3 7-6,149,121,,
Guaruja,A,1987-01-26,Hard,R32,3,Luiz Mattar,Blaine Willenborg,6-2 6-1,96,161,,
Guaruja,A,1987-01-26,Hard,R32,3,Derek Tarr,Danilo Marcelino,6-4 6-4,207,238,,
Guaruja,A,1987-01-26,Hard,R32,3,Ivo Werner,Roberto Saad,6-4 6-4,193,202,,
Guaruja,A,1987-01-26,Hard,R32,3,Ivan Kley,Fernando Roese,7-6 6-3,83,228,,
Guaruja,A,1987-01-26,Hard,R32,3,Juan Avendano,Joao Soares,6-2 6-0,135,206,,
Guaruja,A,1987-01-26,Hard,R32,3,Julio Goes,Nelson Aerts,6-2 6-4,219,220,,
Guaruja,A,1987-01-26,Hard,R32,3,Jon Levine,Hector Ortiz,6-2 6-7 6-2,142,279,,
Guaruja,A,1987-01-26,Hard,R32,3,Bruno Oresar,Pablo Arraya,6-3 2-6 6-3,163,62,,
Guaruja,A,1987-01-26,Hard,R16,3,Cassio Motta,Peter Moraing,4-6 6-2 6-1,48,153,,
Guaruja,A,1987-01-26,Hard,R16,3,Ricardo Acuna,Jimmy Brown,7-5 6-3,171,156,,
Guaruja,A,1987-01-26,Hard,R16,3,Jose Lopez Maeso,Ronnie Bathman,7-5 6-2,215,197,,
Guaruja,A,1987-01-26,Hard,R16,3,Victor Pecci,Mark Buckley,6-1 6-2,146,149,,
Guaruja,A,1987-01-26,Hard,R16,3,Luiz Mattar,Derek Tarr,6-1 6-3,96,207,,
Guaruja,A,1987-01-26,Hard,R16,3,Ivo Werner,Ivan Kley,2-6 6-4 7-5,193,83,,
Guaruja,A,1987-01-26,Hard,R16,3,Julio Goes,Juan Avendano,7-5 6-4,219,135,,
Guaruja,A,1987-01-26,Hard,R16,3,Bruno Oresar,Jon Levine,6-2 6-4,163,142,,
Guaruja,A,1987-01-26,Hard,QF,3,Cassio Motta,Ricardo Acuna,6-2 1-6 6-3,48,171,,
Guaruja,A,1987-01-26,Hard,QF,3,Victor Pecci,Jose Lopez Maeso,6-2 4-6 7-5,146,215,,
Guaruja,A,1987-01-26,Hard,QF,3,Luiz Mattar,Ivo Werner,6-3 2-6 7-6,96,193,,
Guaruja,A,1987-01-26,Hard,QF,3,Bruno Oresar,Julio Goes,6-2 6-3,163,219,,
Guaruja,A,1987-01-26,Hard,SF,3,Cassio Motta,Victor Pecci,7-5 6-2,48,146,,
Guaruja,A,1987-01-26,Hard,SF,3,Luiz Mattar,Bruno Oresar,4-6 7-6 6-4,96,163,,
Guaruja,A,1987-01-26,Hard,F,3,Luiz Mattar,Cassio Motta,6-3 5-7 6-2,96,48,,
Schenectady,A,1987-07-20,Hard,R32,3,Jaime Yzaga,Peter Moraing,6-7 6-3 6-1,70,183,,
Schenectady,A,1987-07-20,Hard,R32,3,Marty Davis,Patrik Kuhnen,7-6 6-1,147,106,,
Schenectady,A,1987-07-20,Hard,R32,3,Alvaro Jordan,Francisco Maciel,6-1 4-6 6-4,278,148,,
Schenectady,A,1987-07-20,Hard,R32,3,Jay Lapidus,Barry Moir,6-2 6-4,228,109,,
Schenectady,A,1987-07-20,Hard,R32,3,Tony Mmoh,Nduka Odizor,6-3 6-4,178,75,,
Schenectady,A,1987-07-20,Hard,R32,3,Paul Chamberlin,Chip Hooper,6-4 7-6,231,153,,
Schenectady,A,1987-07-20,Hard,R32,3,Vincent Van Patten,Richard Matuszewski,7-6 6-3,572,123,,
Schenectady,A,1987-07-20,Hard,R32,3,Simon Youl,Johan Carlsson,7-6 6-3,169,81,,
Schenectady,A,1987-07-20,Hard,R32,3,Ben Testerman,Michael Robertson,6-3 6-2,89,308,,
Schenectady,A,1987-07-20,Hard,R32,3,Christian Saceanu,Mike Lee,4-6 6-3 7-6,131,603,,
Schenectady,A,1987-07-20,Hard,R32,3,Martin Laurendeau,Alex Antonitsch,6-1 4-6 6-4,134,105,,
Schenectady,A,1987-07-20,Hard,R32,3,Jim Pugh,Gary Donnelly,7-6 7-6,76,115,,
Schenectady,A,1987-07-20,Hard,R32,3,Eric Winogradsky,Stephane Bonneau,7-6 6-3,95,176,,
Schenectady,A,1987-07-20,Hard,R32,3,Thomas Hogstedt,Marc Flur,3-6 6-2 6-4,133,125,,
Schenectady,A,1987-07-20,Hard,R32,3,Brad Pearce,John Letts,6-2 6-4,162,291,,
Schenectady,A,1987-07-20,Hard,R32,3,Gary Muller,Andre Agassi,6-3 6-3,86,69,,
Schenectady,A,1987-07-20,Hard,R16,3,Jaime Yzaga,Marty Davis,5-7 6-2 6-2,70,147,,
Schenectady,A,1987-07-20,Hard,R16,3,Jay Lapidus,Alvaro Jordan,6-4 6-4,228,278,,
Schenectady,A,1987-07-20,Hard,R16,3,Tony Mmoh,Paul Chamberlin,1-6 6-3 6-3,178,231,,
