tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Brisbane,A,2010-01-03,Hard,R32,3,Andy Roddick,Peter Luczak,7-6(5) 6-2,7,77,4410,598
Brisbane,A,2010-01-03,Hard,R32,3,Carsten Ball,Mischa Zverev,7-5 6-1,134,78,400,590
Brisbane,A,2010-01-03,Hard,R32,3,Richard Gasquet,Jarkko Nieminen,6-3 4-6 6-4,52,88,850,568
Brisbane,A,2010-01-03,Hard,R32,3,Matthew Ebden,Jurgen Melzer,7-5 6-1,285,28,151,1260
Brisbane,A,2010-01-03,Hard,R32,3,Tomas Berdych,Nick Lindahl,6-2 6-4,20,251,1655,179
Brisbane,A,2010-01-03,Hard,R32,3,Marcos Baghdatis,Mardy Fish,7-5 7-5,42,55,945,790
Brisbane,A,2010-01-03,Hard,R32,3,Harel Levy,Michael Llodra,6-2 6-0,119,67,461,649
Brisbane,A,2010-01-03,Hard,R32,3,Thomaz Bellucci,Juan Ignacio Chela,6-3 3-6 6-1,36,73,1021,611
Brisbane,A,2010-01-03,Hard,R32,3,James Blake,Sam Querrey,4-6 6-3 6-4,44,25,935,1320
Brisbane,A,2010-01-03,Hard,R32,3,Marc Gicquel,Philipp Petzschner,6-3 6-1,58,80,744,587
Brisbane,A,2010-01-03,Hard,R32,3,Florent Serra,Julian Reister,6-7(3) 7-6(5) 7-5,65,173,665,284
Brisbane,A,2010-01-03,Hard,R32,3,Gael Monfils,Taylor Dent,7-6(1) 6-7(5) 6-2,13,76,2610,602
Brisbane,A,2010-01-03,Hard,R32,3,Alejandro Falla,Jeremy Chardy,6-4 6-4,81,32,587,1102
Brisbane,A,2010-01-03,Hard,R32,3,Wayne Odesnik,Arnaud Clement,6-4 7-6(2),105,63,521,667
Brisbane,A,2010-01-03,Hard,R32,3,Alexandr Dolgopolov,Bernard Tomic,6-4 6-4,131,286,413,150
Brisbane,A,2010-01-03,Hard,R32,3,Radek Stepanek,John Millman,6-4 6-0,12,306,2625,137
Brisbane,A,2010-01-03,Hard,R16,3,Andy Roddick,Carsten Ball,7-6(0) 6-3,7,134,4410,400
Brisbane,A,2010-01-03,Hard,R16,3,Richard Gasquet,Matthew Ebden,6-3 6-4,52,285,850,151
Brisbane,A,2010-01-03,Hard,R16,3,Tomas Berdych,Marcos Baghdatis,6-0 6-1,20,42,1655,945
Brisbane,A,2010-01-03,Hard,R16,3,Thomaz Bellucci,Harel Levy,6-4 4-6 6-4,36,119,1021,461
Brisbane,A,2010-01-03,Hard,R16,3,James Blake,Marc Gicquel,6-3 3-6 7-6(8),44,58,935,744
Brisbane,A,2010-01-03,Hard,R16,3,Gael Monfils,Florent Serra,6-7(5) 7-6(5) 6-1,13,65,2610,665
Brisbane,A,2010-01-03,Hard,R16,3,Wayne Odesnik,Alejandro Falla,6-7(8) 6-2 6-1,105,81,521,587
Brisbane,A,2010-01-03,Hard,R16,3,Radek Stepanek,Alexandr Dolgopolov,5-7 7-6(4) 6-2,12,131,2625,413
Brisbane,A,2010-01-03,Hard,QF,3,Andy Roddick,Richard Gasquet,6-3 7-6(5),7,52,4410,850
Brisbane,A,2010-01-03,Hard,QF,3,Tomas Berdych,Thomaz Bellucci,7-6(4) 2-6 7-6(3),20,36,1655,1021
Brisbane,A,2010-01-03,Hard,QF,3,Gael Monfils,James Blake,3-6 6-3 6-4,13,44,2610,935
Brisbane,A,2010-01-03,Hard,QF,3,Radek Stepanek,Wayne Odesnik,7-6(2) 6-1,12,105,2625,521
Brisbane,A,2010-01-03,Hard,SF,3,Andy Roddick,Tomas Berdych,1-6 6-3 6-4,7,20,4410,1655
Brisbane,A,2010-01-03,Hard,SF,3,Radek Stepanek,Gael Monfils,6-2 6-1,12,13,2625,2610
Brisbane,A,2010-01-03,Hard,F,3,Andy Roddick,Radek Stepanek,7-6(2) 7-6(7),7,12,4410,2625
Chennai,A,2010-01-04,Hard,R32,3,Robby Ginepri,Robin Soderling,6-4 7-5,100,8,529,3410
Chennai,A,2010-01-04,Hard,R32,3,Lukas Lacko,Yen Hsun Lu,6-4 6-3,82,98,580,537
Chennai,A,2010-01-04,Hard,R32,3,Kevin Kim,Daniel Brands,6-2 6-2,117,92,482,550
Chennai,A,2010-01-04,Hard,R32,3,Dudi Sela,Denis Istomin,6-1 6-2,43,102,936,527
Chennai,A,2010-01-04,Hard,R32,3,Stan Wawrinka,Rohan Bopanna,6-1 6-4,21,391,1635,95
Chennai,A,2010-01-04,Hard,R32,3,Michael Russell,Prakash Amritraj,6-3 6-1,83,212,579,222
Chennai,A,2010-01-04,Hard,R32,3,Stephane Robert,Louk Sorensen,6-2 6-1,108,293,508,144
Chennai,A,2010-01-04,Hard,R32,3,Michael Berrer,Santiago Ventura,6-3 6-2,74,109,608,506
Chennai,A,2010-01-04,Hard,R32,3,Thiemo De Bakker,Rajeev Ram,6-1 6-1,96,79,541,590
Chennai,A,2010-01-04,Hard,R32,3,Robin Haase,Tsung Hua Yang,6-4 6-3,447,341,75,119
Chennai,A,2010-01-04,Hard,R32,3,Somdev Devvarman,Rainer Schuettler,7-5 6-2,126,85,441,575
Chennai,A,2010-01-04,Hard,R32,3,Janko Tipsarevic,Carlos Moya,6-3 7-6(2),38,446,1015,75
Chennai,A,2010-01-04,Hard,R32,3,Jan Hajek,Simon Greul,3-6 6-2 6-4,103,59,526,739
Chennai,A,2010-01-04,Hard,R32,3,Santiago Giraldo,Bjorn Phau,6-4 6-7(6) 6-3,107,111,516,496
Chennai,A,2010-01-04,Hard,R32,3,Marcel Granollers,James Ward,5-7 6-2 6-2,91,272,553,162
Chennai,A,2010-01-04,Hard,R32,3,Marin Cilic,Igor Kunitsyn,6-2 6-4,14,104,2430,525
Chennai,A,2010-01-04,Hard,R16,3,Lukas Lacko,Robby Ginepri,7-6(3) 6-4,82,100,580,529
Chennai,A,2010-01-04,Hard,R16,3,Dudi Sela,Kevin Kim,7-6(3) 6-2,43,117,936,482
Chennai,A,2010-01-04,Hard,R16,3,Stan Wawrinka,Michael Russell,6-3 6-4,21,83,1635,579
Chennai,A,2010-01-04,Hard,R16,3,Michael Berrer,Stephane Robert,7-6(7) 6-3,74,108,608,508
Chennai,A,2010-01-04,Hard,R16,3,Thiemo De Bakker,Robin Haase,6-3 6-4,96,447,541,75
Chennai,A,2010-01-04,Hard,R16,3,Janko Tipsarevic,Somdev Devvarman,6-2 6-1,38,126,1015,441
Chennai,A,2010-01-04,Hard,R16,3,Santiago Giraldo,Jan Hajek,6-4 6-2,107,103,516,526
Chennai,A,2010-01-04,Hard,R16,3,Marin Cilic,Marcel Granollers,6-7(3) 6-3 6-4,14,91,2430,553
Chennai,A,2010-01-04,Hard,QF,3,Dudi Sela,Lukas Lacko,7-6(3) 7-5,43,82,936,580
Chennai,A,2010-01-04,Hard,QF,3,Stan Wawrinka,Michael Berrer,7-6(5) 6-4,21,74,1635,608
Chennai,A,2010-01-04,Hard,QF,3,Janko Tipsarevic,Thiemo De Bakker,7-5 7-5,38,96,1015,541
Chennai,A,2010-01-04,Hard,QF,3,Marin Cilic,Santiago Giraldo,7-6(3) 6-1,14,107,2430,516
Chennai,A,2010-01-04,Hard,SF,3,Stan Wawrinka,Dudi Sela,6-4 2-6 7-5,21,43,1635,936
Chennai,A,2010-01-04,Hard,SF,3,Marin Cilic,Janko Tipsarevic,6-1 6-3,14,38,2430,1015
Chennai,A,2010-01-04,Hard,F,3,Marin Cilic,Stan Wawrinka,7-6(2) 7-6(3),14,21,2430,1635
Doha,A,2010-01-04,Hard,R32,3,Roger Federer,Christophe Rochus,6-1 6-2,1,86,10550,575
Doha,A,2010-01-04,Hard,R32,3,Evgeny Korolev,Martin Vassallo Arguello,6-2 6-3,53,99,848,535
Doha,A,2010-01-04,Hard,R32,3,Andreas Seppi,Oscar Hernandez,6-4 7-5,49,70,900,633
Doha,A,2010-01-04,Hard,R32,3,Ernests Gulbis,Albert Montanes,6-2 7-5,90,31,555,1140
Doha,A,2010-01-04,Hard,R32,3,Nikolay Davydenko,Mikhail Kukushkin,6-2 6-0,6,132,4930,409
Doha,A,2010-01-04,Hard,R32,3,Marco Chiudinelli,Paolo Lorenzi,7-5 6-3,56,84,767,577
Doha,A,2010-01-04,Hard,R32,3,Benjamin Becker,Daniel Koellerer,5-1 RET,40,71,986,617
Doha,A,2010-01-04,Hard,R32,3,Ivo Karlovic,Fabio Fognini,6-4 6-4,37,54,1015,790
Doha,A,2010-01-04,Hard,R32,3,Viktor Troicki,Daniel Gimeno Traver,6-1 7-5,29,72,1175,613
Doha,A,2010-01-04,Hard,R32,3,Olivier Rochus,Abdulla Hajji,6-1 6-0,57,,757,
Doha,A,2010-01-04,Hard,R32,3,Lukasz Kubot,Karim Maamoun,6-0 6-2,101,291,528,145
Doha,A,2010-01-04,Hard,R32,3,Sergiy Stakhovsky,Mikhail Youzhny,7-6(11) 6-2,60,19,733,1690
Doha,A,2010-01-04,Hard,R32,3,Steve Darcis,Guillermo Garcia Lopez,6-4 6-1,122,41,451,954
Doha,A,2010-01-04,Hard,R32,3,Younes El Aynaoui,Ryler Deheart,7-6(3) 7-6(4),,241,,187
Doha,A,2010-01-04,Hard,R32,3,Potito Starace,Frederico Gil,6-2 6-0,62,69,682,642
Doha,A,2010-01-04,Hard,R32,3,Rafael Nadal,Simone Bolelli,6-3 6-3,2,93,9205,549
Doha,A,2010-01-04,Hard,R16,3,Roger Federer,Evgeny Korolev,6-2 6-4,1,53,10550,848
Doha,A,2010-01-04,Hard,R16,3,Ernests Gulbis,Andreas Seppi,6-4 7-5,90,49,555,900
Doha,A,2010-01-04,Hard,R16,3,Nikolay Davydenko,Marco Chiudinelli,6-3 6-4,6,56,4930,767
Doha,A,2010-01-04,Hard,R16,3,Ivo Karlovic,Benjamin Becker,4-6 6-3 6-2,37,40,1015,986
Doha,A,2010-01-04,Hard,R16,3,Viktor Troicki,Olivier Rochus,6-2 6-2,29,57,1175,757
Doha,A,2010-01-04,Hard,R16,3,Lukasz Kubot,Sergiy Stakhovsky,6-2 7-6(5),101,60,528,733
Doha,A,2010-01-04,Hard,R16,3,Steve Darcis,Younes El Aynaoui,6-3 6-1,122,,451,
Doha,A,2010-01-04,Hard,R16,3,Rafael Nadal,Potito Starace,6-2 6-2,2,62,9205,682
Doha,A,2010-01-04,Hard,QF,3,Roger Federer,Ernests Gulbis,6-2 4-6 6-4,1,90,10550,555
Doha,A,2010-01-04,Hard,QF,3,Nikolay Davydenko,Ivo Karlovic,7-6(4) 7-6(7),6,37,4930,1015
Doha,A,2010-01-04,Hard,QF,3,Viktor Troicki,Lukasz Kubot,4-6 6-4 7-6(1),29,101,1175,528
Doha,A,2010-01-04,Hard,QF,3,Rafael Nadal,Steve Darcis,6-1 2-0 RET,2,122,9205,451
Doha,A,2010-01-04,Hard,SF,3,Nikolay Davydenko,Roger Federer,6-4 6-4,6,1,4930,10550
Doha,A,2010-01-04,Hard,SF,3,Rafael Nadal,Viktor Troicki,6-1 6-3,2,29,9205,1175
Doha,A,2010-01-04,Hard,F,3,Nikolay Davydenko,Rafael Nadal,0-6 7-6(8) 6-4,6,2,4930,9205
Auckland,A,2010-01-11,Hard,R32,3,Simon Greul,Paolo Lorenzi,6-3 6-3,60,86,737,577
