tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Wayne Ferreira,Ivan Ljubicic,7-6(7) 7-6(5),28,42,1090,865
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Thomas Enqvist,Yevgeny Kafelnikov,6-3 RET,146,40,258,950
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Jan Michael Gambill,Nikolay Davydenko,6-3 6-3,57,43,660,855
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Albert Costa,Fernando Gonzalez,6-3 7-6(3),23,22,1170,1190
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Alex Corretja,Rafael Nadal,6-2 3-6 6-4,127,49,290,788
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Mardy Fish,Tim Henman,7-6(4) 6-3,25,30,1145,1055
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Feliciano Lopez,Mariano Zabaleta,6-2 3-6 6-3,35,27,1025,1133
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Gaston Gaudio,Jarkko Nieminen,3-6 7-5 6-2,37,31,1000,1050
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,David Ferrer,Mikhail Youzhny,1-6 6-4 6-4,72,29,480,1060
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Vincent Spadea,Christophe Rochus,6-4 7-5,33,87,1040,421
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Jonas Bjorkman,Marat Safin,4-6 7-5 6-4,41,38,873,985
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Robby Ginepri,Olivier Rochus,6-3 6-3,34,51,1040,746
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Karol Kucera,Arnaud Clement,7-6(3) 4-6 6-3,36,26,1008,1135
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Juan Ignacio Chela,Alberto Martin,6-4 1-6 6-1,44,58,845,659
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Nicolas Massu,Fernando Verdasco,7-6(2) 6-4,21,102,1192,383
Madrid Masters,Masters 1000,2003-10-13,Hard,R64,3,Max Mirnyi,James Blake,7-5 6-2,24,39,1160,975
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Juan Carlos Ferrero,Wayne Ferreira,6-3 2-6 7-6(4),1,28,4195,1090
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Felix Mantilla,Thomas Enqvist,6-2 7-6(3),19,146,1240,258
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Jan Michael Gambill,Sjeng Schalken,7-6(6) 6-2,57,14,660,1515
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Paradorn Srichaphan,Albert Costa,6-3 6-7(5) 6-1,11,23,1845,1170
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Roger Federer,Alex Corretja,6-4 6-3,3,127,3825,290
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Mardy Fish,Tommy Robredo,7-6(14) 6-2,25,17,1145,1300
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Feliciano Lopez,Mark Philippoussis,6-4 3-6 6-3,35,13,1025,1615
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Carlos Moya,Gaston Gaudio,3-6 7-5 6-3,7,37,2705,1000
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Sebastien Grosjean,David Ferrer,6-4 6-2,10,72,1970,480
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Vincent Spadea,Agustin Calleri,7-6(5) 3-6 6-3,33,16,1040,1355
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Younes El Aynaoui,Jonas Bjorkman,6-4 6-4,18,41,1260,873
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Robby Ginepri,Rainer Schuettler,6-2 6-4,34,6,1040,2850
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Jiri Novak,Karol Kucera,6-2 1-6 6-2,12,36,1665,1008
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Juan Ignacio Chela,Martin Verkerk,6-2 6-2,44,15,845,1407
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Nicolas Massu,Gustavo Kuerten,6-3 7-5,21,20,1192,1225
Madrid Masters,Masters 1000,2003-10-13,Hard,R32,3,Andy Roddick,Max Mirnyi,6-1 6-7(9) 7-5,2,24,4165,1160
Madrid Masters,Masters 1000,2003-10-13,Hard,R16,3,Juan Carlos Ferrero,Felix Mantilla,7-6(2) 7-6(0),1,19,4195,1240
Madrid Masters,Masters 1000,2003-10-13,Hard,R16,3,Paradorn Srichaphan,Jan Michael Gambill,7-5 6-4,11,57,1845,660
Madrid Masters,Masters 1000,2003-10-13,Hard,R16,3,Roger Federer,Mardy Fish,6-3 7-6(4),3,25,3825,1145
Madrid Masters,Masters 1000,2003-10-13,Hard,R16,3,Feliciano Lopez,Carlos Moya,6-7(5) 6-1 7-5,35,7,1025,2705
Madrid Masters,Masters 1000,2003-10-13,Hard,R16,3,Sebastien Grosjean,Vincent Spadea,6-3 6-2,10,33,1970,1040
Madrid Masters,Masters 1000,2003-10-13,Hard,R16,3,Younes El Aynaoui,Robby Ginepri,6-4 7-6(5),18,34,1260,1040
Madrid Masters,Masters 1000,2003-10-13,Hard,R16,3,Juan Ignacio Chela,Jiri Novak,3-6 7-6(5) 6-2,44,12,845,1665
Madrid Masters,Masters 1000,2003-10-13,Hard,R16,3,Nicolas Massu,Andy Roddick,7-6(3) 6-2,21,2,1192,4165
Madrid Masters,Masters 1000,2003-10-13,Hard,QF,3,Juan Carlos Ferrero,Paradorn Srichaphan,6-4 6-2,1,11,4195,1845
Madrid Masters,Masters 1000,2003-10-13,Hard,QF,3,Roger Federer,Feliciano Lopez,4-6 7-6(3) 6-4,3,35,3825,1025
Madrid Masters,Masters 1000,2003-10-13,Hard,QF,3,Younes El Aynaoui,Sebastien Grosjean,3-6 7-6(6) 6-2,18,10,1260,1970
Madrid Masters,Masters 1000,2003-10-13,Hard,QF,3,Nicolas Massu,Juan Ignacio Chela,6-7(5) 6-4 6-4,21,44,1192,845
Madrid Masters,Masters 1000,2003-10-13,Hard,SF,3,Juan Carlos Ferrero,Roger Federer,6-4 4-6 6-4,1,3,4195,3825
Madrid Masters,Masters 1000,2003-10-13,Hard,SF,3,Nicolas Massu,Younes El Aynaoui,7-5 6-4,21,18,1192,1260
Madrid Masters,Masters 1000,2003-10-13,Hard,F,5,Juan Carlos Ferrero,Nicolas Massu,6-3 6-4 6-3,1,21,4195,1192
Bangkok,A,2003-09-22,Hard,R32,3,Juan Carlos Ferrero,Dick Norman,7-5 7-6(5),1,125,4250,290
Bangkok,A,2003-09-22,Hard,R32,3,Alex Bogomolov Jr,Giorgio Galimberti,6-3 6-3,116,127,327,284
Bangkok,A,2003-09-22,Hard,R32,3,Alexander Popp,Werner Eschauer,7-5 6-3,115,110,328,343
Bangkok,A,2003-09-22,Hard,R32,3,Gregory Carraz,Fabrice Santoro,3-6 7-6(8) 6-1,85,50,446,708
Bangkok,A,2003-09-22,Hard,R32,3,Paradorn Srichaphan,Vladimir Voltchkov,0-6 6-3 6-2,11,87,1845,437
Bangkok,A,2003-09-22,Hard,R32,3,Kenneth Carlsen,Andy Ram,3-6 6-3 7-6(5),68,366,548,82
Bangkok,A,2003-09-22,Hard,R32,3,Mario Ancic,Marco Chiudinelli,6-4 4-6 6-3,71,326,509,101
Bangkok,A,2003-09-22,Hard,R32,3,Ivan Ljubicic,Cyril Saulnier,5-7 6-3 7-6(4),45,99,810,378
Bangkok,A,2003-09-22,Hard,R32,3,Jarkko Nieminen,Danai Udomchoke,6-4 6-1,37,191,980,197
Bangkok,A,2003-09-22,Hard,R32,3,Bohdan Ulihrach,Davide Sanguinetti,6-2 6-3,151,97,249,390
Bangkok,A,2003-09-22,Hard,R32,3,Brian Vahaly,Jaymon Crabb,7-5 2-1 RET,79,299,464,111
Bangkok,A,2003-09-22,Hard,R32,3,Carlos Moya,Petr Luxa,6-4 6-3,6,402,2685,71
Bangkok,A,2003-09-22,Hard,R32,3,Taylor Dent,Wesley Moodie,6-1 6-4,54,80,663,461
Bangkok,A,2003-09-22,Hard,R32,3,Thierry Ascione,Ivan Miranda,6-3 6-2,114,109,332,345
Bangkok,A,2003-09-22,Hard,R32,3,Nicolas Thomann,Prakash Amritraj,5-7 6-3 6-3,123,333,294,98
Bangkok,A,2003-09-22,Hard,R32,3,Jonathan Erlich,Sonchat Ratiwatana,7-5 1-6 6-4,557,873,34,10
Bangkok,A,2003-09-22,Hard,R16,3,Juan Carlos Ferrero,Alex Bogomolov Jr,6-3 6-7(4) 6-1,1,116,4250,327
Bangkok,A,2003-09-22,Hard,R16,3,Gregory Carraz,Alexander Popp,7-5 6-2,85,115,446,328
Bangkok,A,2003-09-22,Hard,R16,3,Paradorn Srichaphan,Kenneth Carlsen,6-3 7-6(5),11,68,1845,548
Bangkok,A,2003-09-22,Hard,R16,3,Ivan Ljubicic,Mario Ancic,6-1 6-4,45,71,810,509
Bangkok,A,2003-09-22,Hard,R16,3,Jarkko Nieminen,Bohdan Ulihrach,6-4 6-2,37,151,980,249
Bangkok,A,2003-09-22,Hard,R16,3,Carlos Moya,Brian Vahaly,7-5 6-4,6,79,2685,464
Bangkok,A,2003-09-22,Hard,R16,3,Taylor Dent,Thierry Ascione,6-1 6-2,54,114,663,332
Bangkok,A,2003-09-22,Hard,R16,3,Nicolas Thomann,Jonathan Erlich,6-4 6-0,123,557,294,34
Bangkok,A,2003-09-22,Hard,QF,3,Juan Carlos Ferrero,Gregory Carraz,6-4 3-6 7-6(2),1,85,4250,446
Bangkok,A,2003-09-22,Hard,QF,3,Ivan Ljubicic,Paradorn Srichaphan,4-6 7-6(4) 7-5,45,11,810,1845
Bangkok,A,2003-09-22,Hard,QF,3,Jarkko Nieminen,Carlos Moya,6-7(5) 6-4 6-4,37,6,980,2685
Bangkok,A,2003-09-22,Hard,QF,3,Taylor Dent,Nicolas Thomann,6-3 RET,54,123,663,294
Bangkok,A,2003-09-22,Hard,SF,3,Juan Carlos Ferrero,Ivan Ljubicic,6-3 6-3,1,45,4250,810
Bangkok,A,2003-09-22,Hard,SF,3,Taylor Dent,Jarkko Nieminen,7-6(3) 6-2,54,37,663,980
Bangkok,A,2003-09-22,Hard,F,3,Taylor Dent,Juan Carlos Ferrero,6-3 7-6(5),54,1,663,4250
Auckland,A,2003-01-06,Hard,R32,3,Jiri Novak,Robert Kendrick,6-2 6-3,7,176,2331,208
Auckland,A,2003-01-06,Hard,R32,3,Robby Ginepri,Agustin Calleri,7-6(5) 7-5,102,50,392,730
Auckland,A,2003-01-06,Hard,R32,3,Kenneth Carlsen,Andre Sa,6-7(7) 7-5 6-4,64,65,611,607
Auckland,A,2003-01-06,Hard,R32,3,Felix Mantilla,Jose Acasuso,6-3 7-5,77,43,520,868
Auckland,A,2003-01-06,Hard,R32,3,Fernando Gonzalez,Feliciano Lopez,3-6 7-6(5) 6-2,17,62,1636,633
Auckland,A,2003-01-06,Hard,R32,3,David Ferrer,Alberto Martin,6-3 6-2,58,66,663,605
