tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Fed Cup WG R1: CZE vs AUS,D,2013-02-09,Hard,RR,3,Petra Kvitova,Jarmila Gajdosova,7-6(2) 6-3,8,168,4285,400
Fed Cup WG R1: CZE vs AUS,D,2013-02-09,Hard,RR,3,Lucie Safarova,Samantha Stosur,7-6(6) 7-6(4),18,9,2220,4230
Fed Cup WG R1: CZE vs AUS,D,2013-02-09,Hard,RR,3,Petra Kvitova,Samantha Stosur,2-6 7-6(3) 6-4,8,9,4285,4230
Fed Cup WG R1: ITA vs USA,D,2013-02-09,Clay,RR,3,Sara Errani,Jamie Hampton,6-2 6-1,7,64,4795,998
Fed Cup WG R1: ITA vs USA,D,2013-02-09,Clay,RR,3,Varvara Lepchenko,Roberta Vinci,2-6 6-4 7-5,21,16,1875,2585
Fed Cup WG R1: ITA vs USA,D,2013-02-09,Clay,RR,3,Varvara Lepchenko,Sara Errani,7-5 6-2,21,7,1875,4795
Fed Cup WG R1: ITA vs USA,D,2013-02-09,Clay,RR,3,Roberta Vinci,Jamie Hampton,6-2 4-6 6-1,16,64,2585,998
Fed Cup WG R1: RUS vs JPN,D,2013-02-09,Hard,RR,3,Maria Kirilenko,Kimiko Date Krumm,7-6(3) 6-4,13,77,2910,842
Fed Cup WG R1: RUS vs JPN,D,2013-02-09,Hard,RR,3,Ayumi Morita,Kate Makarova,6-2 6-2,57,20,1070,1881
Fed Cup WG R1: RUS vs JPN,D,2013-02-09,Hard,RR,3,Ayumi Morita,Elena Vesnina,6-4 6-1,57,33,1070,1525
Fed Cup WG R1: RUS vs JPN,D,2013-02-09,Hard,RR,3,Kate Makarova,Kimiko Date Krumm,6-1 6-1,20,77,1881,842
Fed Cup WG R1: SRB vs SVK,D,2013-02-09,Hard,RR,3,Daniela Hantuchova,Bojana Jovanovski,7-5 6-2,58,39,1065,1370
Fed Cup WG R1: SRB vs SVK,D,2013-02-09,Hard,RR,3,Vesna Dolonc,Dominika Cibulkova,4-6 4-5,92,15,722,2695
Fed Cup WG R1: SRB vs SVK,D,2013-02-09,Hard,RR,3,Jana Cepelova,Bojana Jovanovski,5-7 7-5 11-9,98,39,700,1370
Fed Cup WG R1: SRB vs SVK,D,2013-02-09,Hard,RR,3,Daniela Hantuchova,Vesna Dolonc,6-3 6-2,58,92,1065,722
Fed Cup WG SF: ITA vs CZE,D,2013-04-20,Clay,RR,3,Sara Errani,Lucie Safarova,6-4 6-2,7,25,5350,1730
Fed Cup WG SF: ITA vs CZE,D,2013-04-20,Clay,RR,3,Roberta Vinci,Petra Kvitova,6-4 6-1,12,8,2925,5225
Fed Cup WG SF: ITA vs CZE,D,2013-04-20,Clay,RR,3,Petra Kvitova,Sara Errani,2-6 6-2 6-0,8,7,5225,5350
Fed Cup WG SF: ITA vs CZE,D,2013-04-20,Clay,RR,3,Roberta Vinci,Lucie Safarova,6-3 6-7(2) 6-3,12,25,2925,1730
Fed Cup WG SF: RUS vs SVK,D,2013-04-20,Clay,RR,3,Dominika Cibulkova,Anastasia Pavlyuchenkova,5-7 6-1 6-4,15,19,2615,1875
Fed Cup WG SF: RUS vs SVK,D,2013-04-20,Clay,RR,3,Daniela Hantuchova,Maria Kirilenko,6-2 6-4,75,13,865,2911
Fed Cup WG SF: RUS vs SVK,D,2013-04-20,Clay,RR,3,Maria Kirilenko,Dominika Cibulkova,7-5 6-1,13,15,2911,2615
