tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Adelaide,A,1995-01-02,Hard,R32,3,Yevgeny Kafelnikov,Marcos Ondruska,7-6(5) 6-1,11,98,,
Adelaide,A,1995-01-02,Hard,R32,3,Henrik Holm,Cedric Pioline,6-2 6-2,67,51,,
Adelaide,A,1995-01-02,Hard,R32,3,Jeremy Bates,Joern Renzenbrink,6-4 4-6 6-4,77,92,,
Adelaide,A,1995-01-02,Hard,R32,3,Mark Woodforde,Marc Kevin Goellner,6-4 6-4,43,79,,
Adelaide,A,1995-01-02,Hard,R32,3,Jim Courier,Jakob Hlasek,7-6(2) 6-1,13,70,,
Adelaide,A,1995-01-02,Hard,R32,3,Daniel Vacek,Alex Obrien,6-4 5-7 6-4,45,105,,
Adelaide,A,1995-01-02,Hard,R32,3,Thomas Enqvist,David Adams,6-4 6-3,59,147,,
Adelaide,A,1995-01-02,Hard,R32,3,Jason Stoltenberg,Nicklas Kulti,7-5 6-3,21,99,,
Adelaide,A,1995-01-02,Hard,R32,3,Patrick Rafter,Todd Woodbridge,7-6(3) 6-1,20,90,,
Adelaide,A,1995-01-02,Hard,R32,3,Jamie Morgan,Byron Black,4-6 6-2 6-3,104,66,,
Adelaide,A,1995-01-02,Hard,R32,3,Richard Fromberg,Jonathan Stark,6-4 6-2,58,65,,
Adelaide,A,1995-01-02,Hard,R32,3,Richard Krajicek,Fabrice Santoro,6-3 6-3,17,46,,
Adelaide,A,1995-01-02,Hard,R32,3,Renzo Furlan,Gianluca Pozzi,6-3 6-4,41,93,,
Adelaide,A,1995-01-02,Hard,R32,3,Arnaud Boetsch,Bryan Shelton,4-6 7-5 7-6(2),53,85,,
Adelaide,A,1995-01-02,Hard,R32,3,Carl Uwe Steeb,Wally Masur,6-4 7-6(5),89,137,,
Adelaide,A,1995-01-02,Hard,R32,3,Hendrik Dreekmann,Wayne Ferreira,7-6(6) 6-2,64,12,,
Adelaide,A,1995-01-02,Hard,R16,3,Yevgeny Kafelnikov,Henrik Holm,7-5 6-3,11,67,,
Adelaide,A,1995-01-02,Hard,R16,3,Mark Woodforde,Jeremy Bates,7-6(6) 6-4,43,77,,
Adelaide,A,1995-01-02,Hard,R16,3,Jim Courier,Daniel Vacek,6-3 6-4,13,45,,
Adelaide,A,1995-01-02,Hard,R16,3,Thomas Enqvist,Jason Stoltenberg,6-4 6-4,59,21,,
Adelaide,A,1995-01-02,Hard,R16,3,Patrick Rafter,Jamie Morgan,7-6(2) 6-3,20,104,,
Adelaide,A,1995-01-02,Hard,R16,3,Richard Krajicek,Richard Fromberg,7-5 7-5,17,58,,
Adelaide,A,1995-01-02,Hard,R16,3,Arnaud Boetsch,Renzo Furlan,6-3 7-5,53,41,,
Adelaide,A,1995-01-02,Hard,R16,3,Hendrik Dreekmann,Carl Uwe Steeb,7-6(2) 3-6 6-2,64,89,,
Adelaide,A,1995-01-02,Hard,QF,3,Mark Woodforde,Yevgeny Kafelnikov,6-3 7-5,43,11,,
Adelaide,A,1995-01-02,Hard,QF,3,Jim Courier,Thomas Enqvist,6-2 6-4,13,59,,
Adelaide,A,1995-01-02,Hard,QF,3,Richard Krajicek,Patrick Rafter,6-4 7-6(4),17,20,,
Adelaide,A,1995-01-02,Hard,QF,3,Arnaud Boetsch,Hendrik Dreekmann,6-3 6-4,53,64,,
Adelaide,A,1995-01-02,Hard,SF,3,Jim Courier,Mark Woodforde,6-3 6-4,13,43,,
Adelaide,A,1995-01-02,Hard,SF,3,Arnaud Boetsch,Richard Krajicek,7-6(4) 6-2,53,17,,
Adelaide,A,1995-01-02,Hard,F,3,Jim Courier,Arnaud Boetsch,6-2 7-5,13,53,,
Doha,A,1995-01-02,Hard,R32,3,Stefan Edberg,Ronald Agenor,6-2 7-6(8),7,71,,
Doha,A,1995-01-02,Hard,R32,3,Adrian Voinea,Jeff Tarango,6-7(4) 7-6(5) 6-3,202,78,,
Doha,A,1995-01-02,Hard,R32,3,Younes El Aynaoui,Lars Jonsson,2-6 6-4 7-6(4),117,102,,
Doha,A,1995-01-02,Hard,R32,3,Karim Alami,Paul Haarhuis,5-7 6-3 7-5,88,37,,
Doha,A,1995-01-02,Hard,R32,3,Javier Sanchez,Jacco Eltingh,3-6 6-2 6-3,42,23,,
Doha,A,1995-01-02,Hard,R32,3,Karsten Braasch,Sandor Noszaly,3-6 6-3 6-2,56,154,,
Doha,A,1995-01-02,Hard,R32,3,Filip Dewulf,Patrik Kuhnen,6-3 4-6 6-1,134,189,,
Doha,A,1995-01-02,Hard,R32,3,Henri Leconte,Alexander Volkov,4-6 7-6(6) 7-5,94,25,,
Doha,A,1995-01-02,Hard,R32,3,Markus Zoecke,Bernd Karbacher,4-6 6-3 6-4,57,26,,
Doha,A,1995-01-02,Hard,R32,3,Shuzo Matsuoka,Jan Apell,7-6(3) 6-4,124,95,,
Doha,A,1995-01-02,Hard,R32,3,Jonas Bjorkman,Alexander Mronz,7-5 6-2,50,103,,
