tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Robby Ginepri,Jurgen Melzer,2-6 7-6(2) 6-4,72,56,535,625
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Agustin Calleri,Dmitry Tursunov,3-6 7-6(4) 6-4,50,28,660,950
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Stefan Koubek,Jarkko Nieminen,6-3 3-6 6-4,68,29,565,935
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Feliciano Lopez,Filippo Volandri,6-3 6-2,42,43,741,731
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Ivo Karlovic,Marat Safin,6-3 6-4,24,36,1258,855
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Nicolas Kiefer,Stan Wawrinka,7-5 6-3,112,35,370,860
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Juan Monaco,Igor Andreev,6-7(5) 6-0 6-4,20,33,1350,895
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Nicolas Almagro,Fabrice Santoro,6-4 6-4,26,46,1015,719
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Mario Ancic,Marc Gicquel,6-4 6-2,49,77,675,520
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Paul Henri Mathieu,Mardy Fish,6-3 2-6 7-5,21,38,1335,775
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Juan Carlos Ferrero,Alejandro Falla,6-4 7-5,23,128,1285,335
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Fernando Verdasco,Albert Montanes,6-1 6-1,32,47,905,700
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Juan Martin Del Potro,Potito Starace,7-5 6-1,53,27,634,951
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,David Nalbandian,Arnaud Clement,5-7 6-2 6-4,25,40,1160,745
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Andy Murray,Radek Stepanek,6-4 6-1,17,30,1480,925
Madrid Masters,Masters 1000,2007-10-15,Hard,R64,3,Marcos Baghdatis,Andrei Pavel,6-3 4-6 6-1,22,82,1295,502
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Roger Federer,Robby Ginepri,7-6(2) 6-4,1,72,7355,535
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Guillermo Canas,Agustin Calleri,6-3 3-6 7-5,14,50,1673,660
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Stefan Koubek,Ivan Ljubicic,6-3 6-7(2) 7-5,68,13,565,1675
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Feliciano Lopez,David Ferrer,7-6(3) 7-5,42,7,741,2130
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Ivo Karlovic,Oscar Hernandez,7-5 6-2,24,52,1258,636
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Nicolas Kiefer,Mikhail Youzhny,6-1 6-3,112,18,370,1465
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Juan Monaco,Tommy Haas,6-4 7-5,20,10,1350,1940
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Fernando Gonzalez,Nicolas Almagro,7-6(11) 7-5,6,26,2245,1015
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Mario Ancic,James Blake,6-3 6-4,49,8,675,2110
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Paul Henri Mathieu,Richard Gasquet,7-6(8) 7-5,21,12,1335,1885
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Juan Carlos Ferrero,Carlos Moya,7-6(2) 6-4,23,15,1285,1620
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Novak Djokovic,Fernando Verdasco,6-7(7) 6-3 6-3,3,32,4370,905
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,Juan Martin Del Potro,Tommy Robredo,6-7(4) 6-4 6-3,53,9,634,2035
Madrid Masters,Masters 1000,2007-10-15,Hard,R32,3,David Nalbandian,Tomas Berdych,4-6 6-4 7-6(2),25,11,1160,1935
