tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Fed Cup G1 RRA: KOR vs INA,D,2001-04-11,Hard,RR,3,Yang Jin Chung,Romana Tedjakusuma,6-4 6-3,408,367,34,43
Fed Cup G1 RRA: KOR vs INA,D,2001-04-11,Hard,RR,3,Wynne Prakusya,Kyung Yee Chae,7-6(5) 6-2,134,295,249,62
Fed Cup G1 RRA: KOR vs POC,D,2001-04-12,Hard,RR,3,Jin Young Choi,Nicole Angat,6-1 6-1,,,,
Fed Cup G1 RRA: KOR vs POC,D,2001-04-12,Hard,RR,3,Kyung Yee Chae,Davilyn Godinet,6-3 6-1,295,,62,
Fed Cup G1 RRA: KOR vs IND,D,2001-04-13,Hard,RR,3,Yang Jin Chung,Manisha Malhotra,6-2 4-6 6-2,408,372,34,42
Fed Cup G1 RRA: KOR vs IND,D,2001-04-13,Hard,RR,3,Nirupama Vaidyanathan,Kyung Yee Chae,6-4 7-6(3),181,295,152,62
Fed Cup G1 RRA: NZL vs INA,D,2001-04-10,Hard,RR,3,Romana Tedjakusuma,Leanne Baker,6-1 6-1,367,361,43,44
Fed Cup G1 RRA: NZL vs INA,D,2001-04-10,Hard,RR,3,Wynne Prakusya,Shelley Stephens,6-0 6-3,134,268,249,71
Fed Cup G1 RRA: NZL vs POC,D,2001-04-13,Hard,RR,3,Tracey Oconnor,Nicole Angat,6-3 6-0,,,,
Fed Cup G1 RRA: NZL vs POC,D,2001-04-13,Hard,RR,3,Shelley Stephens,Davilyn Godinet,6-4 6-1,268,,71,
Fed Cup G1 RRA: NZL vs IND,D,2001-04-11,Hard,RR,3,Tracey Oconnor,Manisha Malhotra,6-1 3-6 6-3,,372,,42
Fed Cup G1 RRA: NZL vs IND,D,2001-04-11,Hard,RR,3,Nirupama Vaidyanathan,Shelley Stephens,6-3 6-4,181,268,152,71
Fed Cup G1 RRA: INA vs IND,D,2001-04-12,Hard,RR,3,Romana Tedjakusuma,Manisha Malhotra,6-4 6-2,367,372,43,42
Fed Cup G1 RRA: INA vs IND,D,2001-04-12,Hard,RR,3,Wynne Prakusya,Nirupama Vaidyanathan,7-6(8) 6-7(7) 6-4,134,181,249,152
Fed Cup G1 RRA: POC vs IND,D,2001-04-10,Hard,RR,3,Manisha Malhotra,Nicole Angat,6-1 6-1,372,,42,
Fed Cup G1 RRA: POC vs IND,D,2001-04-10,Hard,RR,3,Nirupama Vaidyanathan,Davilyn Godinet,6-2 6-1,181,,152,
Fed Cup G1 RRA: KOR vs NZL,D,2001-04-09,Hard,RR,3,Yang Jin Chung,Leanne Baker,6-3 6-0,408,361,34,44
Fed Cup G1 RRA: KOR vs NZL,D,2001-04-09,Hard,RR,3,Kyung Yee Chae,Shelley Stephens,6-1 6-4,295,268,62,71
Fed Cup G1 RRA: INA vs POC,D,2001-04-09,Hard,RR,3,Romana Tedjakusuma,Nicole Angat,6-0 6-0,367,,43,
Fed Cup G1 RRA: INA vs POC,D,2001-04-09,Hard,RR,3,Wynne Prakusya,Davilyn Godinet,6-0 6-3,134,,249,
Fed Cup G1 RRB: TPE vs THA,D,2001-04-09,Hard,RR,3,Chia Jung Chuang,Napaporn Tongsalee,6-3 7-6(3),,,,
Fed Cup G1 RRB: TPE vs THA,D,2001-04-09,Hard,RR,3,Janet Lee,Suchanun Viratprasert,6-4 6-2,137,472,243,25
Fed Cup G1 RRB: TPE vs CHN,D,2001-04-12,Hard,RR,3,Shuai Peng,Chia Jung Chuang,6-3 6-4,,,,
Fed Cup G1 RRB: TPE vs CHN,D,2001-04-12,Hard,RR,3,Janet Lee,Na Li,6-1 6-3,137,164,243,174
Fed Cup G1 RRB: TPE vs KAZ,D,2001-04-11,Hard,RR,3,Chia Jung Chuang,Olga Dzuba,6-2 6-1,,,,
Fed Cup G1 RRB: TPE vs KAZ,D,2001-04-11,Hard,RR,3,Janet Lee,Valeria Khazova,6-1 6-0,137,,243,
Fed Cup G1 RRB: TPE vs UZB,D,2001-04-13,Hard,RR,3,Chia Jung Chuang,Akgul Amanmuradova,6-3 6-2,,,,
Fed Cup G1 RRB: TPE vs UZB,D,2001-04-13,Hard,RR,3,Janet Lee,Kamila Dadakhodjaeva,6-0 6-1,137,,243,
Fed Cup G1 RRB: THA vs CHN,D,2001-04-10,Hard,RR,3,Shuai Peng,Prariyawan Ratanakrong,6-0 6-2,,,,
Fed Cup G1 RRB: THA vs CHN,D,2001-04-10,Hard,RR,3,Na Li,Suchanun Viratprasert,7-5 7-5,164,472,174,25
Fed Cup G1 RRB: THA vs KAZ,D,2001-04-13,Hard,RR,3,Napaporn Tongsalee,Olga Dzuba,6-3 6-1,,,,
Fed Cup G1 RRB: THA vs KAZ,D,2001-04-13,Hard,RR,3,Suchanun Viratprasert,Valeria Khazova,6-0 6-0,472,,25,
Fed Cup G1 RRB: THA vs UZB,D,2001-04-12,Hard,RR,3,Akgul Amanmuradova,Napaporn Tongsalee,6-3 6-4,,,,
Fed Cup G1 RRB: THA vs UZB,D,2001-04-12,Hard,RR,3,Suchanun Viratprasert,Kamila Dadakhodjaeva,7-5 7-5,472,,25,
Fed Cup G1 RRB: CHN vs KAZ,D,2001-04-09,Hard,RR,3,Shuai Peng,Olga Dzuba,6-2 6-0,,,,
Fed Cup G1 RRB: CHN vs KAZ,D,2001-04-09,Hard,RR,3,Tian Tian Sun,Valeria Khazova,6-2 6-0,333,,50,
Fed Cup G1 RRB: CHN vs UZB,D,2001-04-11,Hard,RR,3,Shuai Peng,Kamila Dadakhodjaeva,7-5 6-2,,,,
