tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Auckland,A,2001-01-08,Hard,R32,3,Stefan Koubek,Franco Squillari,7-6(4) 6-2,52,14,755,1598
Auckland,A,2001-01-08,Hard,R32,3,Alex Calatrava,Agustin Calleri,6-3 1-6 6-3,53,64,751,633
Auckland,A,2001-01-08,Hard,R32,3,Greg Rusedski,Mark Nielsen,6-4 6-4,73,260,575,129
Auckland,A,2001-01-08,Hard,R32,3,Byron Black,Albert Portas,2-6 6-2 6-4,35,49,965,760
Auckland,A,2001-01-08,Hard,R32,3,Jan Michael Gambill,Nicolas Massu,7-6(4) 6-4,33,67,1030,601
Auckland,A,2001-01-08,Hard,R32,3,Andreas Vinciguerra,Harel Levy,6-3 6-4,50,59,760,677
Auckland,A,2001-01-08,Hard,R32,3,Francisco Clavet,Juan Ignacio Chela,6-3 4-6 6-3,47,65,795,632
Auckland,A,2001-01-08,Hard,R32,3,Michael Russell,Fernando Vicente,6-2 6-2,154,42,250,860
Auckland,A,2001-01-08,Hard,R32,3,Arnaud Di Pasquale,Marcelo Rios,3-6 6-1 7-6(2),61,23,670,1160
Auckland,A,2001-01-08,Hard,R32,3,Glenn Weiner,Olivier Rochus,4-6 6-3 6-3,277,71,118,582
Auckland,A,2001-01-08,Hard,R32,3,Juan Balcells,Michal Tabara,6-4 6-4,74,70,557,584
Auckland,A,2001-01-08,Hard,R32,3,Andrei Medvedev,Gaston Gaudio,6-3 6-3,58,34,680,995
Auckland,A,2001-01-08,Hard,R32,3,Thomas Johansson,Julien Boutter,6-4 6-4,36,68,955,594
Auckland,A,2001-01-08,Hard,R32,3,Marzio Martelli,Davide Sanguinetti,6-4 7-6(1),281,72,114,581
Auckland,A,2001-01-08,Hard,R32,3,Mariano Zabaleta,Felix Mantilla,7-5 7-5,62,100,645,410
Auckland,A,2001-01-08,Hard,R32,3,Dominik Hrbaty,Andrea Gaudenzi,7-5 6-3,17,102,1395,404
Auckland,A,2001-01-08,Hard,R16,3,Stefan Koubek,Alex Calatrava,6-3 7-6(5),52,53,755,751
Auckland,A,2001-01-08,Hard,R16,3,Greg Rusedski,Byron Black,6-1 7-6(3),73,35,575,965
Auckland,A,2001-01-08,Hard,R16,3,Jan Michael Gambill,Andreas Vinciguerra,6-4 6-4,33,50,1030,760
Auckland,A,2001-01-08,Hard,R16,3,Francisco Clavet,Michael Russell,3-6 6-1 7-6(5),47,154,795,250
Auckland,A,2001-01-08,Hard,R16,3,Glenn Weiner,Arnaud Di Pasquale,6-2 3-6 6-1,277,61,118,670
Auckland,A,2001-01-08,Hard,R16,3,Juan Balcells,Andrei Medvedev,6-2 6-4,74,58,557,680
Auckland,A,2001-01-08,Hard,R16,3,Thomas Johansson,Marzio Martelli,6-4 6-3,36,281,955,114
Auckland,A,2001-01-08,Hard,R16,3,Dominik Hrbaty,Mariano Zabaleta,4-6 6-3 6-3,17,62,1395,645
Auckland,A,2001-01-08,Hard,QF,3,Greg Rusedski,Stefan Koubek,6-2 5-7 7-5,73,52,575,755
Auckland,A,2001-01-08,Hard,QF,3,Francisco Clavet,Jan Michael Gambill,6-4 6-4,47,33,795,1030
Auckland,A,2001-01-08,Hard,QF,3,Juan Balcells,Glenn Weiner,6-3 6-4,74,277,557,118
Auckland,A,2001-01-08,Hard,QF,3,Dominik Hrbaty,Thomas Johansson,6-7(4) 6-3 6-2,17,36,1395,955
Auckland,A,2001-01-08,Hard,SF,3,Francisco Clavet,Greg Rusedski,6-3 6-2,47,73,795,575
Auckland,A,2001-01-08,Hard,SF,3,Dominik Hrbaty,Juan Balcells,7-6(2) 6-3,17,74,1395,557
