year,slam,winner,country,slam_num
2013,US,Serena Williams,,184
2014,AO,Li Na,,185
2014,RG,Maria Sharapova,,186
2014,Wim,Petra Kvitová,,187
2014,US,Serena Williams,,188
2015,AO,Serena Williams,,189
2015,RG,Serena Williams,,190
2015,Wim,Serena Williams,,191
2015,US,Flavia Pennetta,,192
2016,AO,Angelique Kerber,,193
2016,RG,Garbiñe Muguruza,,194
2016,Wim,Serena Williams,,195
2016,US,Angelique Kerber,,196
2017,AO,Serena Williams,,197
2017,RG,Jeļena Ostapenko,,198
2017,Wim,Garbiñe Muguruza,,199
2017,US,Sloane Stephens,,200
2018,AO,Caroline Wozniacki,,201
2018,RG,Simona Halep,,202
2018,Wim,Angelique Kerber,,203
2018,US,Naomi Osaka,,204
2019,AO,Naomi Osaka,,205
2019,RG,Ashleigh Barty,,206
2019,Wim,Simona Halep,,207
2019,US,Bianca Andreescu,,208
2020,AO,Sofia Kenin,,209
2020,RG,Iga Świątek,,210
2020,US,Naomi Osaka,,211
2021,AO,Naomi Osaka,,212
2021,RG,Barbora Krejčíková,,213
2021,Wim,Ashleigh Barty,,214
2021,US,Emma Raducanu,,215
2022,AO,Ashleigh Barty,,216
2022,RG,Iga Świątek,,217
2022,Wim,Elena Rybakina,,218
2022,US,Iga Świątek,,219
2023,AO,Aryna Sabalenka,,220
2023,RG,Iga Świątek,,221
2023,Wim,Markéta Vondroušová,,222
2023,US,Coco Gauff,,223
2024,AO,Aryna Sabalenka,,224
2024,RG,Iga Świątek,,225
2024,Wim,Barbora Krejčíková,,226
2024,US,Aryna Sabalenka,,227
2025,AO,Madison Keys,,228
2025,RG,Coco Gauff,,229
2025,Wim,Iga Świątek,,230
2025,US,Aryna Sabalenka,,231
2026,AO,Elena Rybakina,,232
2026,RG,Mirra Andreeva,,233
2026,Wim,Linda Noskova,,234
